gene_id,D1,D3,Z3,Z1,Z2,MS1,D7,D9,ZH2,D4,D5,D6
ENSMUSG00000000001,3778,3383,1584,4420,3442,5097,4100,3976,4389,4335,3891,3642
ENSMUSG00000000003,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000028,396,196,159,283,153,400,286,194,284,270,246,256
ENSMUSG00000000031,3,1,12,1,11,11,0,6,0,9,12,10
ENSMUSG00000000037,42,17,7,64,6,41,37,25,32,23,18,28
ENSMUSG00000000049,5,3,0,1,0,1,8,3,2,8,4,0
ENSMUSG00000000056,1195,1192,612,1353,901,990,1049,945,1261,1073,1036,1107
ENSMUSG00000000058,108,138,86,202,219,359,182,248,211,207,180,229
ENSMUSG00000000078,3283,2767,1374,3137,1880,4103,3135,2671,3433,1636,2130,1710
ENSMUSG00000000085,1082,1185,663,925,666,1423,1160,1310,1156,978,1105,1138
ENSMUSG00000000088,6893,6476,1674,5629,3335,4478,5048,4781,5870,3826,4270,4364
ENSMUSG00000000093,11,15,8,10,0,1,8,8,8,3,6,1
ENSMUSG00000000094,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000103,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000120,0,1,0,3,10,0,0,1,0,0,0,0
ENSMUSG00000000125,1,2,0,4,7,1,2,1,0,4,0,2
ENSMUSG00000000126,5,0,0,1,0,3,0,0,1,2,0,3
ENSMUSG00000000127,295,251,104,330,197,301,289,264,302,294,299,244
ENSMUSG00000000131,1576,1161,795,1296,1048,1843,1322,1348,1500,996,1305,1120
ENSMUSG00000000134,821,615,353,667,441,653,580,651,725,392,590,527
ENSMUSG00000000142,1366,1082,631,1277,551,563,631,399,762,355,451,456
ENSMUSG00000000148,463,384,155,379,229,334,354,333,332,302,370,330
ENSMUSG00000000149,708,465,220,504,354,600,506,361,514,373,510,429
ENSMUSG00000000154,3354,3169,1564,2064,1162,2247,2511,2724,2733,2326,2041,2041
ENSMUSG00000000157,97,83,18,63,56,90,111,70,117,110,100,80
ENSMUSG00000000159,1517,1059,857,1068,754,1516,1345,1307,1285,1185,1105,1032
ENSMUSG00000000167,69,50,33,30,35,34,51,45,33,44,34,38
ENSMUSG00000000168,2354,2382,1032,2718,1626,2452,2338,2503,2958,1958,2184,1966
ENSMUSG00000000171,9418,7951,3585,7486,6405,6200,7209,7941,7458,8298,6267,7209
ENSMUSG00000000182,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000183,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000184,4342,3553,2402,5454,3276,4636,3360,3789,4664,3994,4831,5057
ENSMUSG00000000194,2331,1950,984,1734,1113,1872,2013,1925,2056,1532,1688,1593
ENSMUSG00000000197,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000202,8,4,11,0,0,4,6,2,3,5,9,1
ENSMUSG00000000204,3191,1517,934,1251,1072,2299,2449,1834,1939,1136,1265,1082
ENSMUSG00000000214,6,4,0,1,0,1,3,3,1,1,0,2
ENSMUSG00000000215,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000216,50,14,3,29,6,16,6,13,24,2,6,9
ENSMUSG00000000223,5,2,0,4,0,7,8,5,10,1,6,7
ENSMUSG00000000244,2,2,3,1,0,0,0,0,4,3,3,2
ENSMUSG00000000247,8,0,0,1,0,2,0,0,1,0,0,0
ENSMUSG00000000248,23,59,22,36,0,43,19,24,46,34,27,25
ENSMUSG00000000253,602,789,344,472,151,573,408,490,482,418,376,424
ENSMUSG00000000263,0,0,0,0,0,0,0,1,1,0,0,0
