gene_id,MP1,MP2
ENSMUSG00000064351,2244383,2221583
ENSMUSG00000064370,622802,614439
ENSMUSG00000064341,526466,433179
ENSMUSG00000064363,344466,263325
ENSMUSG00000064367,238616,234845
ENSMUSG00000064345,190437,166938
ENSMUSG00000025515,209351,143306
ENSMUSG00000047517,191077,62344
ENSMUSG00000064368,128617,102895
ENSMUSG00000064339,149472,76484
ENSMUSG00000026417,108966,72239
ENSMUSG00000013643,124527,49181
ENSMUSG00000037742,99163,60808
ENSMUSG00000049382,108648,40487
ENSMUSG00000064337,95037,48423
ENSMUSG00000053964,80216,42500
ENSMUSG00000020911,82503,30937
ENSMUSG00000022824,70733,24381
ENSMUSG00000037390,62130,26971
ENSMUSG00000029580,53495,17516
ENSMUSG00000067274,39693,31221
ENSMUSG00000032518,32432,37277
ENSMUSG00000021749,37238,31927
ENSMUSG00000074227,47809,16578
ENSMUSG00000060126,37916,24679
ENSMUSG00000071356,49406,10873
ENSMUSG00000034994,39675,20163
ENSMUSG00000058908,30785,28146
ENSMUSG00000007892,32519,25732
ENSMUSG00000092274,39583,14253
ENSMUSG00000045394,42109,11398
ENSMUSG00000015656,40332,12079
ENSMUSG00000074129,26705,25555
ENSMUSG00000020581,38078,14144
ENSMUSG00000026701,34648,15692
ENSMUSG00000000308,35194,13226
ENSMUSG00000032399,26604,21793
ENSMUSG00000062825,32699,15235
ENSMUSG00000047730,21113,26519
ENSMUSG00000025290,24795,22710
ENSMUSG00000061232,36532,10647
ENSMUSG00000050708,23359,22186
ENSMUSG00000000740,22942,21419
ENSMUSG00000073411,31502,12424
ENSMUSG00000045128,19349,24449
ENSMUSG00000026576,31086,11920
ENSMUSG00000063457,19753,22113
ENSMUSG00000020788,28385,12927
ENSMUSG00000025393,28276,12815
ENSMUSG00000024610,30795,8905
ENSMUSG00000033161,29835,9412
ENSMUSG00000030688,16625,22424
ENSMUSG00000028415,20217,18458
ENSMUSG00000027556,21833,16722
ENSMUSG00000030432,17082,21408
ENSMUSG00000003970,20322,17612
ENSMUSG00000020372,22178,15177
ENSMUSG00000023944,25813,11188
ENSMUSG00000064357,23877,12911
ENSMUSG00000064354,16939,19801
ENSMUSG00000030695,24317,11316
ENSMUSG00000076258,18020,17277
ENSMUSG00000043716,21340,13494
ENSMUSG00000025203,25141,9323
ENSMUSG00000025428,24901,9473
ENSMUSG00000058558,16555,17156
ENSMUSG00000024661,21170,12495
ENSMUSG00000028081,25549,7996
ENSMUSG00000000303,25262,8065
ENSMUSG00000031818,22288,11036
ENSMUSG00000034427,18019,15295
ENSMUSG00000023010,23182,10041
ENSMUSG00000074272,23564,8990
ENSMUSG00000001025,25277,7220
ENSMUSG00000024608,19762,12631
ENSMUSG00000059070,19076,12809
ENSMUSG00000038274,16529,15071
ENSMUSG00000047675,16850,14636
ENSMUSG00000063229,22561,8620
ENSMUSG00000029614,16251,14679
ENSMUSG00000018569,21821,9070
ENSMUSG00000075602,23339,7362
ENSMUSG00000008682,16591,13842
ENSMUSG00000074115,21553,8766
ENSMUSG00000022587,18445,11693
ENSMUSG00000025207,16090,13961
ENSMUSG00000038900,14300,15544
ENSMUSG00000028367,24233,5501
ENSMUSG00000063903,16386,13291
ENSMUSG00000042808,19588,10041
ENSMUSG00000037805,15095,14491
ENSMUSG00000025508,18617,10899
ENSMUSG00000028699,19653,9860
ENSMUSG00000030413,21566,7855
ENSMUSG00000006333,17949,11422
ENSMUSG00000028255,14356,14888
ENSMUSG00000030744,17461,11665
ENSMUSG00000031320,15515,13406
ENSMUSG00000015932,21361,7333
ENSMUSG00000061904,19029,9536
ENSMUSG00000012848,16392,11844
ENSMUSG00000025362,16210,11882
ENSMUSG00000028495,15716,12295
ENSMUSG00000050335,18067,9921
ENSMUSG00000064358,10196,17778
ENSMUSG00000025794,13954,13809
ENSMUSG00000052212,21282,6277
ENSMUSG00000003429,14782,12555
ENSMUSG00000028234,13639,13585
ENSMUSG00000022283,18441,8764
ENSMUSG00000060036,15426,11668
ENSMUSG00000032294,17890,9059
ENSMUSG00000041697,18851,8095
ENSMUSG00000030017,22628,4315
ENSMUSG00000040952,12959,13734
ENSMUSG00000046364,14547,11924
ENSMUSG00000062328,14310,12142
ENSMUSG00000017404,13530,12914
ENSMUSG00000060802,19674,6670
ENSMUSG00000001175,17586,8655
ENSMUSG00000023175,18440,7467
ENSMUSG00000032231,20907,4916
ENSMUSG00000004864,15855,9785
ENSMUSG00000074445,21489,4025
ENSMUSG00000079523,15552,9941
ENSMUSG00000023247,13215,12193
ENSMUSG00000025130,18472,6846
ENSMUSG00000060938,12237,12990
ENSMUSG00000074207,16054,8396
ENSMUSG00000049350,12533,11722
ENSMUSG00000070473,14160,10024
ENSMUSG00000004980,17346,6567
ENSMUSG00000037563,13994,9413
ENSMUSG00000046330,13261,9954
ENSMUSG00000029322,16926,6159
ENSMUSG00000027422,13488,9495
ENSMUSG00000027248,16864,6117
ENSMUSG00000061477,12160,10468
ENSMUSG00000021556,13785,8840
ENSMUSG00000016319,16689,5827
ENSMUSG00000057841,11090,11305
ENSMUSG00000056429,16434,5714
ENSMUSG00000078664,18278,3796
ENSMUSG00000047215,12975,8967
ENSMUSG00000013653,12812,9074
ENSMUSG00000003814,16832,5000
ENSMUSG00000029992,16038,5728
ENSMUSG00000090841,13515,8176
ENSMUSG00000061983,10153,11534
ENSMUSG00000006932,15570,6038
ENSMUSG00000048992,13804,7778
ENSMUSG00000049517,12441,9093
ENSMUSG00000024730,15444,5984
ENSMUSG00000033685,12112,9287
ENSMUSG00000035852,14001,7365
ENSMUSG00000071644,12929,8170
ENSMUSG00000049775,14899,6047
ENSMUSG00000026238,13306,7515
ENSMUSG00000030739,13307,7481
ENSMUSG00000063524,13432,7336
ENSMUSG00000018293,15040,5540
ENSMUSG00000003072,11060,9319
ENSMUSG00000071866,14707,5537
ENSMUSG00000008668,14121,5955
ENSMUSG00000028639,14326,5740
ENSMUSG00000073702,9115,10741
ENSMUSG00000023043,13582,6217
ENSMUSG00000026811,13306,6403
ENSMUSG00000020719,13967,5483
ENSMUSG00000000385,14612,4838
ENSMUSG00000026864,15637,3785
ENSMUSG00000009927,9947,9465
ENSMUSG00000027562,13575,5834
ENSMUSG00000025497,11260,8093
ENSMUSG00000025967,12745,6423
ENSMUSG00000004535,12930,6162
ENSMUSG00000027401,14206,4792
ENSMUSG00000004207,13454,5497
ENSMUSG00000071415,10625,8237
ENSMUSG00000016559,13905,4857
ENSMUSG00000048758,8729,9908
ENSMUSG00000035885,11533,7098
ENSMUSG00000003051,13894,4706
ENSMUSG00000026175,13243,5274
ENSMUSG00000054452,9519,8878
ENSMUSG00000057863,8303,10037
ENSMUSG00000059291,9929,8145
ENSMUSG00000022601,9298,8760
ENSMUSG00000028479,11625,6326
ENSMUSG00000052146,10101,7716
ENSMUSG00000023456,12385,5415
ENSMUSG00000069833,14291,3221
ENSMUSG00000052397,12764,4690
ENSMUSG00000036427,10541,6805
ENSMUSG00000086503,11898,5422
ENSMUSG00000023150,11202,5798
ENSMUSG00000074195,14363,2566
ENSMUSG00000041453,8325,8580
ENSMUSG00000030122,9593,7208
ENSMUSG00000078812,11162,5505
ENSMUSG00000027940,11194,5431
ENSMUSG00000031995,10427,6179
ENSMUSG00000025401,11941,4652
ENSMUSG00000028334,10286,6099
ENSMUSG00000005610,12302,3915
ENSMUSG00000025351,11096,5031
ENSMUSG00000029713,10621,5384
ENSMUSG00000022108,10991,4880
ENSMUSG00000035775,10980,4853
ENSMUSG00000064372,8997,6774
ENSMUSG00000056201,11348,4382
ENSMUSG00000074457,12230,3458
ENSMUSG00000017950,10526,5109
ENSMUSG00000018927,10118,5516
ENSMUSG00000028691,11432,4163
ENSMUSG00000021771,11670,3862
ENSMUSG00000068874,5705,9804
ENSMUSG00000000544,10473,5023
ENSMUSG00000038991,10651,4775
ENSMUSG00000054808,9874,5526
ENSMUSG00000090733,9073,6325
ENSMUSG00000020048,11891,3493
ENSMUSG00000074892,10895,4447
ENSMUSG00000061787,9012,6320
ENSMUSG00000068396,9990,5291
ENSMUSG00000039001,7463,7760
ENSMUSG00000056293,10221,4970
ENSMUSG00000079445,11133,4051
ENSMUSG00000030681,10582,4536
ENSMUSG00000006360,9061,6006
ENSMUSG00000024597,11793,3234
ENSMUSG00000063882,10017,5000
ENSMUSG00000014313,9783,5224
ENSMUSG00000018770,11543,3322
ENSMUSG00000000805,10089,4775
ENSMUSG00000090862,8340,6434
ENSMUSG00000028692,10317,4453
ENSMUSG00000061718,10118,4565
ENSMUSG00000024029,7904,6697
ENSMUSG00000021939,10023,4564
ENSMUSG00000048578,9780,4774
ENSMUSG00000048076,9995,4540
ENSMUSG00000035530,9353,5159
ENSMUSG00000028719,10691,3786
ENSMUSG00000023048,10223,4211
ENSMUSG00000028788,9750,4651
ENSMUSG00000007034,10285,3997
ENSMUSG00000063065,9391,4808
ENSMUSG00000020737,8713,5408
ENSMUSG00000027875,8218,5825
ENSMUSG00000036751,9588,4401
ENSMUSG00000020849,9187,4782
ENSMUSG00000070493,10003,3955
ENSMUSG00000025544,11179,2756
ENSMUSG00000028416,6770,7019
ENSMUSG00000036752,10206,3576
ENSMUSG00000041959,9243,4444
ENSMUSG00000027506,9184,4458
ENSMUSG00000041757,9204,4428
ENSMUSG00000019505,9744,3883
ENSMUSG00000027642,9768,3828
ENSMUSG00000005683,9721,3863
ENSMUSG00000055978,7814,5720
ENSMUSG00000047139,7202,6329
ENSMUSG00000063316,8517,5008
ENSMUSG00000027230,8791,4623
ENSMUSG00000045999,7120,6263
ENSMUSG00000029455,8980,4349
ENSMUSG00000084174,11254,2006
ENSMUSG00000017707,9220,4023
ENSMUSG00000036606,7890,5223
ENSMUSG00000044894,7797,5153
ENSMUSG00000026277,9232,3671
ENSMUSG00000021957,9014,3845
ENSMUSG00000021218,7840,4949
ENSMUSG00000029068,7488,5261
ENSMUSG00000034088,8051,4622
ENSMUSG00000025503,8792,3865
ENSMUSG00000034127,10080,2563
ENSMUSG00000054161,7709,4739
ENSMUSG00000061315,7308,5121
ENSMUSG00000025651,8604,3824
ENSMUSG00000024619,7508,4916
ENSMUSG00000022650,6696,5680
ENSMUSG00000034868,9065,3307
ENSMUSG00000047040,6497,5866
ENSMUSG00000030082,7919,4426
ENSMUSG00000030342,10097,2247
ENSMUSG00000020456,7453,4889
ENSMUSG00000001794,8078,4232
ENSMUSG00000021486,7468,4813
ENSMUSG00000059796,8362,3907
ENSMUSG00000008683,7556,4706
ENSMUSG00000031765,9467,2792
ENSMUSG00000001847,8410,3802
ENSMUSG00000031451,8073,4138
ENSMUSG00000057322,6725,5466
ENSMUSG00000038372,8795,3377
ENSMUSG00000037033,9249,2918
ENSMUSG00000025016,8957,3184
ENSMUSG00000028063,7689,4436
ENSMUSG00000069367,7558,4552
ENSMUSG00000017778,8482,3595
ENSMUSG00000030824,8129,3948
ENSMUSG00000030717,6550,5474
ENSMUSG00000020321,8282,3717
ENSMUSG00000022565,7832,4167
ENSMUSG00000029994,8530,3452
ENSMUSG00000028671,7404,4479
ENSMUSG00000090378,6064,5793
ENSMUSG00000030062,8991,2863
ENSMUSG00000022229,10765,1066
ENSMUSG00000035242,7633,4197
ENSMUSG00000032324,7972,3818
ENSMUSG00000022285,8143,3635
ENSMUSG00000038612,8649,3118
ENSMUSG00000071076,8452,3302
ENSMUSG00000030587,6569,5137
ENSMUSG00000028936,6401,5291
ENSMUSG00000026473,7490,4082
ENSMUSG00000031089,8103,3460
ENSMUSG00000034918,7661,3789
ENSMUSG00000025132,7017,4420
ENSMUSG00000012350,8054,3362
ENSMUSG00000041737,7950,3417
ENSMUSG00000024187,6560,4774
ENSMUSG00000024960,8205,3110
ENSMUSG00000062997,5353,5956
ENSMUSG00000068893,7121,4153
ENSMUSG00000024308,7597,3669
ENSMUSG00000037266,7493,3741
ENSMUSG00000019558,7472,3724
ENSMUSG00000032068,6988,4185
ENSMUSG00000068452,8586,2585
ENSMUSG00000028673,6819,4283
ENSMUSG00000048277,7271,3778
ENSMUSG00000021660,7963,3045
ENSMUSG00000025037,7155,3817
ENSMUSG00000079435,5583,5370
ENSMUSG00000081684,5917,5031
ENSMUSG00000034917,7356,3578
ENSMUSG00000060147,7228,3696
ENSMUSG00000049422,7756,3099
ENSMUSG00000041782,7530,3314
ENSMUSG00000060904,7744,3050
ENSMUSG00000001918,6392,4402
ENSMUSG00000036438,7944,2846
ENSMUSG00000019370,7253,3513
ENSMUSG00000029084,8245,2509
ENSMUSG00000059534,5950,4778
ENSMUSG00000022477,7641,3019
ENSMUSG00000063856,6734,3924
ENSMUSG00000025068,6883,3754
ENSMUSG00000073421,8937,1695
ENSMUSG00000026688,7827,2802
ENSMUSG00000025278,7766,2861
ENSMUSG00000020029,6840,3745
ENSMUSG00000068587,7721,2843
ENSMUSG00000067288,5502,5061
ENSMUSG00000054889,8268,2288
ENSMUSG00000022551,6719,3773
ENSMUSG00000022797,8381,2106
ENSMUSG00000031029,5435,5028
ENSMUSG00000028217,8109,2345
ENSMUSG00000037815,7900,2527
ENSMUSG00000079641,5212,5209
ENSMUSG00000033213,7481,2931
ENSMUSG00000022175,6942,3436
ENSMUSG00000036620,7193,3182
ENSMUSG00000030364,6799,3563
ENSMUSG00000035203,6055,4285
ENSMUSG00000018126,7066,3222
ENSMUSG00000022994,6519,3755
ENSMUSG00000020460,5821,4429
ENSMUSG00000038014,6938,3293
ENSMUSG00000006699,7219,2983
