NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Col3a1	collagen, type III, alpha 1 [Source:MGI Symbol;Acc:MGI:88453]	3	3.866865873336792	0.03469412	Yes	
row_1	Sparc	secreted acidic cysteine rich glycoprotein [Source:MGI Symbol;Acc:MGI:98373]	7	3.075021266937256	0.062253874	Yes	
row_2	Mgp	matrix Gla protein [Source:MGI Symbol;Acc:MGI:96976]	10	2.908489227294922	0.08836173	Yes	
row_3	Col1a1	collagen, type I, alpha 1 [Source:MGI Symbol;Acc:MGI:88467]	16	2.6461451053619385	0.11196035	Yes	
row_4	Lama4	laminin, alpha 4 [Source:MGI Symbol;Acc:MGI:109321]	34	2.4341917037963867	0.13306701	Yes	
row_5	Serpina3n	serine (or cysteine) peptidase inhibitor, clade A, member 3N [Source:MGI Symbol;Acc:MGI:105045]	38	2.318166732788086	0.15380765	Yes	
row_6	S100a8	S100 calcium binding protein A8 (calgranulin A) [Source:MGI Symbol;Acc:MGI:88244]	40	2.286134719848633	0.17435676	Yes	
row_7	Eya2	EYA transcriptional coactivator and phosphatase 2 [Source:MGI Symbol;Acc:MGI:109341]	45	2.222801923751831	0.19418965	Yes	
row_8	Svep1	sushi, von Willebrand factor type A, EGF and pentraxin domain containing 1 [Source:MGI Symbol;Acc:MGI:1928849]	76	1.8776674270629883	0.20965132	Yes	
row_9	Bgn	biglycan [Source:MGI Symbol;Acc:MGI:88158]	115	1.7112818956375122	0.22322568	Yes	
row_10	Ccl7	chemokine (C-C motif) ligand 7 [Source:MGI Symbol;Acc:MGI:99512]	127	1.66488778591156	0.23769222	Yes	
row_11	Myl9	myosin, light polypeptide 9, regulatory [Source:MGI Symbol;Acc:MGI:2138915]	142	1.615682601928711	0.25156987	Yes	
row_12	Itga2	integrin alpha 2 [Source:MGI Symbol;Acc:MGI:96600]	161	1.5650439262390137	0.26479715	Yes	
row_13	C1s1	complement component 1, s subcomponent 1 [Source:MGI Symbol;Acc:MGI:1355312]	163	1.5550813674926758	0.2787596	Yes	
row_14	Fn1	fibronectin 1 [Source:MGI Symbol;Acc:MGI:95566]	226	1.4109103679656982	0.28846306	Yes	
row_15	Lgals1	lectin, galactose binding, soluble 1 [Source:MGI Symbol;Acc:MGI:96777]	261	1.3444961309432983	0.29892686	Yes	
row_16	Rbpms	RNA binding protein gene with multiple splicing [Source:MGI Symbol;Acc:MGI:1334446]	267	1.333475947380066	0.3106986	Yes	
row_17	Lamc1	laminin, gamma 1 [Source:MGI Symbol;Acc:MGI:99914]	268	1.332824945449829	0.3227071	Yes	
row_18	Ppic	peptidylprolyl isomerase C [Source:MGI Symbol;Acc:MGI:97751]	297	1.2871513366699219	0.33294538	Yes	
row_19	Igfbp5	insulin-like growth factor binding protein 5 [Source:MGI Symbol;Acc:MGI:96440]	309	1.2709357738494873	0.34386247	Yes	
row_20	Gem	GTP binding protein (gene overexpressed in skeletal muscle) [Source:MGI Symbol;Acc:MGI:99844]	321	1.2648347616195679	0.35472462	Yes	
row_21	Rarres2	retinoic acid receptor responder (tazarotene induced) 2 [Source:MGI Symbol;Acc:MGI:1918910]	339	1.2354480028152466	0.36503083	Yes	
row_22	Robo1	roundabout guidance receptor 1 [Source:MGI Symbol;Acc:MGI:1274781]	440	1.116733431816101	0.37023988	Yes	
