NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	COL3A1	collagen type III alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2201]	3	3.866865873336792	0.03993966	Yes	
row_1	SPARC	secreted protein acidic and cysteine rich [Source:HGNC Symbol;Acc:HGNC:11219]	7	3.075021266937256	0.07166178	Yes	
row_2	MGP	matrix Gla protein [Source:HGNC Symbol;Acc:HGNC:7060]	10	2.908489227294922	0.10171887	Yes	
row_3	COL1A2	collagen type I alpha 2 chain [Source:HGNC Symbol;Acc:HGNC:2198]	13	2.7408695220947266	0.13003646	Yes	
row_4	COL1A1	collagen type I alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2197]	15	2.6461451053619385	0.15743423	Yes	
row_5	LAMA4	laminin subunit alpha 4 [Source:HGNC Symbol;Acc:HGNC:6484]	22	2.4341917037963867	0.1823164	Yes	
row_6	COL4A2	collagen type IV alpha 2 chain [Source:HGNC Symbol;Acc:HGNC:2203]	24	2.390810012817383	0.20706435	Yes	
row_7	LTBP1	latent transforming growth factor beta binding protein 1 [Source:HGNC Symbol;Acc:HGNC:6714]	34	2.1092867851257324	0.22838515	Yes	
row_8	COL5A1	collagen type V alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2209]	68	1.7849187850952148	0.24482296	Yes	
row_9	BGN	biglycan [Source:HGNC Symbol;Acc:HGNC:1044]	82	1.7112818956375122	0.2617606	Yes	
row_10	COL6A2	collagen type VI alpha 2 chain [Source:HGNC Symbol;Acc:HGNC:2212]	117	1.5544061660766602	0.275743	Yes	
row_11	AEBP1	AE binding protein 1 [Source:HGNC Symbol;Acc:HGNC:303]	146	1.4671673774719238	0.2891993	Yes	
row_12	FN1	fibronectin 1 [Source:HGNC Symbol;Acc:HGNC:3778]	163	1.4109103679656982	0.30283013	Yes	
row_13	COL6A1	collagen type VI alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2211]	186	1.3533216714859009	0.31548417	Yes	
row_14	LAMC1	laminin subunit gamma 1 [Source:HGNC Symbol;Acc:HGNC:6492]	196	1.332824945449829	0.32874706	Yes	
row_15	FBLN2	fibulin 2 [Source:HGNC Symbol;Acc:HGNC:3601]	201	1.3260273933410645	0.3422554	Yes	
row_16	COL5A2	collagen type V alpha 2 chain [Source:HGNC Symbol;Acc:HGNC:2210]	202	1.3231359720230103	0.35598654	Yes	
row_17	CTHRC1	collagen triple helix repeat containing 1 [Source:HGNC Symbol;Acc:HGNC:18831]	205	1.311105489730835	0.36946642	Yes	
row_18	TNXB	tenascin XB [Source:HGNC Symbol;Acc:HGNC:11976]	226	1.2743364572525024	0.38142717	Yes	
row_19	VCAN	versican [Source:HGNC Symbol;Acc:HGNC:2464]	282	1.1924699544906616	0.39032632	Yes	
