NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	C1S	complement C1s [Source:HGNC Symbol;Acc:HGNC:1247]	115	1.5550813674926758	0.028528966	No	
row_1	IFITM1	interferon induced transmembrane protein 1 [Source:HGNC Symbol;Acc:HGNC:5412]	187	1.3499740362167358	0.055111412	No	
row_2	PLSCR1	phospholipid scramblase 1 [Source:HGNC Symbol;Acc:HGNC:9092]	1225	0.622913122177124	0.004114129	No	
row_3	CXCL11	C-X-C motif chemokine ligand 11 [Source:HGNC Symbol;Acc:HGNC:10638]	1321	0.5928844213485718	0.011768376	No	
row_4	LAMP3	lysosomal associated membrane protein 3 [Source:HGNC Symbol;Acc:HGNC:14582]	1500	0.5494174957275391	0.013194022	No	
row_5	LPAR6	lysophosphatidic acid receptor 6 [Source:HGNC Symbol;Acc:HGNC:15520]	2396	0.4312375485897064	-0.033267174	No	
row_6	PSMA3	proteasome 20S subunit alpha 3 [Source:HGNC Symbol;Acc:HGNC:9532]	2805	0.40862157940864563	-0.049569536	No	
row_7	PNPT1	polyribonucleotide nucleotidyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:23166]	2863	0.3984636664390564	-0.043993946	No	
row_8	IFITM2	interferon induced transmembrane protein 2 [Source:HGNC Symbol;Acc:HGNC:5413]	3443	0.3343231976032257	-0.07277782	No	
row_9	CASP1	caspase 1 [Source:HGNC Symbol;Acc:HGNC:1499]	4243	0.2634240388870239	-0.117051825	No	
row_10	SELL	selectin L [Source:HGNC Symbol;Acc:HGNC:10720]	4261	0.262144535779953	-0.11209231	No	
row_11	IL4R	interleukin 4 receptor [Source:HGNC Symbol;Acc:HGNC:6015]	4403	0.2508270740509033	-0.11520466	No	
row_12	IFITM3	interferon induced transmembrane protein 3 [Source:HGNC Symbol;Acc:HGNC:5414]	5017	0.20535576343536377	-0.1490972	No	
row_13	IFI30	IFI30 lysosomal thiol reductase [Source:HGNC Symbol;Acc:HGNC:5398]	5153	0.1946878433227539	-0.15312304	No	
row_14	CD47	CD47 molecule [Source:HGNC Symbol;Acc:HGNC:1682]	5271	0.1865655928850174	-0.15620176	No	
row_15	LGALS3BP	galectin 3 binding protein [Source:HGNC Symbol;Acc:HGNC:6564]	5551	0.1652708351612091	-0.16997574	No	
row_16	MVB12A	multivesicular body subunit 12A [Source:HGNC Symbol;Acc:HGNC:25153]	6397	0.10352244973182678	-0.22082599	No	
row_17	NMI	N-myc and STAT interactor [Source:HGNC Symbol;Acc:HGNC:7854]	6910	0.0695149227976799	-0.25148085	No	
row_18	IL7	interleukin 7 [Source:HGNC Symbol;Acc:HGNC:6023]	6976	0.06495299190282822	-0.2540814	No	
row_19	PROCR	protein C receptor [Source:HGNC Symbol;Acc:HGNC:9452]	7016	0.062841035425663	-0.25509262	No	
row_20	CNP	2',3'-cyclic nucleotide 3' phosphodiesterase [Source:HGNC Symbol;Acc:HGNC:2158]	7331	0.04379049316048622	-0.27386603	No	
row_21	EPSTI1	epithelial stromal interaction 1 [Source:HGNC Symbol;Acc:HGNC:16465]	7449	0.03845856338739395	-0.28035185	No	
row_22	GMPR	guanosine monophosphate reductase [Source:HGNC Symbol;Acc:HGNC:4376]	7633	0.02784052863717079	-0.2912397	No	
row_23	CMTR1	cap methyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:21077]	8636	-0.01360349915921688	-0.35404885	No	
row_24	WARS1	tryptophanyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:12729]	8806	-0.02537543512880802	-0.36411142	No	
row_25	RIPK2	receptor interacting serine/threonine kinase 2 [Source:HGNC Symbol;Acc:HGNC:10020]	8825	-0.02677859552204609	-0.36462936	No	
