NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CCL7	C-C motif chemokine ligand 7 [Source:HGNC Symbol;Acc:HGNC:10634]	91	1.66488778591156	0.013738957	No	
row_1	C1S	complement C1s [Source:HGNC Symbol;Acc:HGNC:1247]	115	1.5550813674926758	0.030501677	No	
row_2	MT2A	metallothionein 2A [Source:HGNC Symbol;Acc:HGNC:7406]	192	1.341232419013977	0.04139923	No	
row_3	PLA2G4A	phospholipase A2 group IVA [Source:HGNC Symbol;Acc:HGNC:9035]	384	1.0427669286727905	0.041510157	No	
row_4	CFH	complement factor H [Source:HGNC Symbol;Acc:HGNC:4883]	527	0.9028635621070862	0.043087848	No	
row_5	STAT4	signal transducer and activator of transcription 4 [Source:HGNC Symbol;Acc:HGNC:11365]	573	0.8675639629364014	0.050400514	No	
row_6	TNFAIP2	TNF alpha induced protein 2 [Source:HGNC Symbol;Acc:HGNC:11895]	718	0.8053298592567444	0.050708644	No	
row_7	VCAM1	vascular cell adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:12663]	766	0.7787816524505615	0.05685429	No	
row_8	KLRK1	killer cell lectin like receptor K1 [Source:HGNC Symbol;Acc:HGNC:18788]	853	0.7489134073257446	0.060177866	No	
row_9	LYSMD2	LysM domain containing 2 [Source:HGNC Symbol;Acc:HGNC:28571]	1023	0.6821919083595276	0.05745852	No	
row_10	SOCS3	suppressor of cytokine signaling 3 [Source:HGNC Symbol;Acc:HGNC:19391]	1115	0.6516426801681519	0.059325453	No	
row_11	SPPL2A	signal peptide peptidase like 2A [Source:HGNC Symbol;Acc:HGNC:30227]	1201	0.6273375749588013	0.061287932	No	
row_12	PLSCR1	phospholipid scramblase 1 [Source:HGNC Symbol;Acc:HGNC:9092]	1225	0.622913122177124	0.06712859	No	
row_13	IRF5	interferon regulatory factor 5 [Source:HGNC Symbol;Acc:HGNC:6120]	1255	0.6144311428070068	0.072489545	No	
row_14	CXCL11	C-X-C motif chemokine ligand 11 [Source:HGNC Symbol;Acc:HGNC:10638]	1321	0.5928844213485718	0.07531609	No	
row_15	SSPN	sarcospan [Source:HGNC Symbol;Acc:HGNC:11322]	1956	0.48913323879241943	0.040859554	No	
