NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GSPT1	G1 to S phase transition 1 [Source:HGNC Symbol;Acc:HGNC:4621]	215	1.1812522411346436	3.228443E-4	Yes	
row_1	SSB	small RNA binding exonuclease protection factor La [Source:HGNC Symbol;Acc:HGNC:11316]	258	1.1494618654251099	0.011240958	Yes	
row_2	EIF4G2	eukaryotic translation initiation factor 4 gamma 2 [Source:HGNC Symbol;Acc:HGNC:3297]	273	1.1363208293914795	0.023779439	Yes	
row_3	CANX	calnexin [Source:HGNC Symbol;Acc:HGNC:1473]	290	1.1183757781982422	0.035979055	Yes	
row_4	TOMM70	translocase of outer mitochondrial membrane 70 [Source:HGNC Symbol;Acc:HGNC:11985]	308	1.1080905199050903	0.047993734	Yes	
row_5	XPOT	exportin for tRNA [Source:HGNC Symbol;Acc:HGNC:12826]	309	1.1074016094207764	0.061078332	Yes	
row_6	ABCE1	ATP binding cassette subfamily E member 1 [Source:HGNC Symbol;Acc:HGNC:69]	347	1.080832839012146	0.07150263	Yes	
row_7	IARS1	isoleucyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:5330]	436	1.0293192863464355	0.078084074	Yes	
row_8	SYNCRIP	synaptotagmin binding cytoplasmic RNA interacting protein [Source:HGNC Symbol;Acc:HGNC:16918]	518	0.9936815500259399	0.08468834	Yes	
row_9	DDX21	DExD-box helicase 21 [Source:HGNC Symbol;Acc:HGNC:2744]	536	0.9880872964859009	0.09528511	Yes	
row_10	SMARCC1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin subfamily c member 1 [Source:HGNC Symbol;Acc:HGNC:11104]	605	0.9593427181243896	0.10230806	Yes	
row_11	CSTF2	cleavage stimulation factor subunit 2 [Source:HGNC Symbol;Acc:HGNC:2484]	644	0.9419950842857361	0.111028485	Yes	
row_12	DHX15	DEAH-box helicase 15 [Source:HGNC Symbol;Acc:HGNC:2738]	758	0.9044969081878662	0.11454969	Yes	
row_13	NCBP1	nuclear cap binding protein subunit 1 [Source:HGNC Symbol;Acc:HGNC:7658]	891	0.8688372373580933	0.11644466	Yes	
row_14	MRPS18B	mitochondrial ribosomal protein S18B [Source:HGNC Symbol;Acc:HGNC:14516]	935	0.8583158254623413	0.123859294	Yes	
row_15	IFRD1	interferon related developmental regulator 1 [Source:HGNC Symbol;Acc:HGNC:5456]	1146	0.8074219226837158	0.12008219	Yes	
row_16	HDAC2	histone deacetylase 2 [Source:HGNC Symbol;Acc:HGNC:4853]	1193	0.7985528707504272	0.12660044	Yes	
row_17	ETF1	eukaryotic translation termination factor 1 [Source:HGNC Symbol;Acc:HGNC:3477]	1346	0.7664414644241333	0.12601724	Yes	
row_18	CTPS1	CTP synthase 1 [Source:HGNC Symbol;Acc:HGNC:2519]	1414	0.7538455724716187	0.13067552	Yes	
row_19	SF3B3	splicing factor 3b subunit 3 [Source:HGNC Symbol;Acc:HGNC:10770]	1436	0.7510828971862793	0.13821828	Yes	
row_20	PWP1	PWP1 homolog, endonuclein [Source:HGNC Symbol;Acc:HGNC:17015]	1443	0.749332845211029	0.1466916	Yes	
row_21	ORC2	origin recognition complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:8488]	1551	0.7280105352401733	0.14850801	Yes	
row_22	EIF1AX	eukaryotic translation initiation factor 1A X-linked [Source:HGNC Symbol;Acc:HGNC:3250]	1560	0.726886510848999	0.15658927	Yes	
row_23	USP1	ubiquitin specific peptidase 1 [Source:HGNC Symbol;Acc:HGNC:12607]	1609	0.7176031470298767	0.16202423	Yes	
row_24	PSMD1	proteasome 26S subunit, non-ATPase 1 [Source:HGNC Symbol;Acc:HGNC:9554]	1679	0.7079994082450867	0.16601399	Yes	
row_25	XPO1	exportin 1 [Source:HGNC Symbol;Acc:HGNC:12825]	1730	0.6996170878410339	0.17110959	Yes	
