NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IFIT2	interferon induced protein with tetratricopeptide repeats 2 [Source:HGNC Symbol;Acc:HGNC:5409]	277	1.1840109825134277	0.008989111	Yes	
row_1	LAP3	leucine aminopeptidase 3 [Source:HGNC Symbol;Acc:HGNC:18449]	279	1.1801159381866455	0.035278168	Yes	
row_2	IL4R	interleukin 4 receptor [Source:HGNC Symbol;Acc:HGNC:6015]	300	1.1567156314849854	0.059847765	Yes	
row_3	SAMD9L	sterile alpha motif domain containing 9 like [Source:HGNC Symbol;Acc:HGNC:1349]	315	1.1370189189910889	0.08435551	Yes	
row_4	PARP9	poly(ADP-ribose) polymerase family member 9 [Source:HGNC Symbol;Acc:HGNC:24118]	488	1.0261380672454834	0.09643391	Yes	
row_5	TRIM14	tripartite motif containing 14 [Source:HGNC Symbol;Acc:HGNC:16283]	525	1.0055705308914185	0.11662049	Yes	
row_6	CD47	CD47 molecule [Source:HGNC Symbol;Acc:HGNC:1682]	641	0.9560990929603577	0.13072568	Yes	
row_7	EPSTI1	epithelial stromal interaction 1 [Source:HGNC Symbol;Acc:HGNC:16465]	783	0.9070894718170166	0.14209859	Yes	
row_8	GBP2	guanylate binding protein 2 [Source:HGNC Symbol;Acc:HGNC:4183]	818	0.8935112357139587	0.15990888	Yes	
row_9	PLSCR1	phospholipid scramblase 1 [Source:HGNC Symbol;Acc:HGNC:9092]	882	0.8745276927947998	0.17546837	Yes	
row_10	HELZ2	helicase with zinc finger 2 [Source:HGNC Symbol;Acc:HGNC:30021]	1037	0.8255157470703125	0.1842008	Yes	
row_11	LAMP3	lysosomal associated membrane protein 3 [Source:HGNC Symbol;Acc:HGNC:14582]	1090	0.8167206048965454	0.19916241	Yes	
row_12	WARS1	tryptophanyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:12729]	1122	0.8130882382392883	0.21536583	Yes	
row_13	PNPT1	polyribonucleotide nucleotidyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:23166]	1373	0.748367428779602	0.21632789	Yes	
row_14	EIF2AK2	eukaryotic translation initiation factor 2 alpha kinase 2 [Source:HGNC Symbol;Acc:HGNC:9437]	1477	0.7278686761856079	0.22609264	Yes	
row_15	IFIH1	interferon induced with helicase C domain 1 [Source:HGNC Symbol;Acc:HGNC:18873]	1499	0.7246032357215881	0.24095015	Yes	
row_16	ELF1	E74 like ETS transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:3316]	1554	0.7127869725227356	0.25346494	Yes	
row_17	TRIM21	tripartite motif containing 21 [Source:HGNC Symbol;Acc:HGNC:11312]	1694	0.6790603399276733	0.25987193	Yes	
row_18	B2M	beta-2-microglobulin [Source:HGNC Symbol;Acc:HGNC:914]	1725	0.6744998097419739	0.27304366	Yes	
row_19	IRF1	interferon regulatory factor 1 [Source:HGNC Symbol;Acc:HGNC:6116]	1731	0.6732439398765564	0.28776225	Yes	
row_20	CXCL10	C-X-C motif chemokine ligand 10 [Source:HGNC Symbol;Acc:HGNC:10637]	1866	0.6484245657920837	0.29380015	Yes	
row_21	CD74	CD74 molecule [Source:HGNC Symbol;Acc:HGNC:1697]	1964	0.62948077917099	0.30174586	Yes	
row_22	GBP4	guanylate binding protein 4 [Source:HGNC Symbol;Acc:HGNC:20480]	2004	0.622310996055603	0.31318524	Yes	
row_23	PSMB8	proteasome 20S subunit beta 8 [Source:HGNC Symbol;Acc:HGNC:9545]	2019	0.6173895001411438	0.32608965	Yes	
row_24	NMI	N-myc and STAT interactor [Source:HGNC Symbol;Acc:HGNC:7854]	2078	0.607718288898468	0.33600625	Yes	
row_25	BATF2	basic leucine zipper ATF-like transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:25163]	2185	0.5898135304450989	0.34249923	Yes	
row_26	TAP1	transporter 1, ATP binding cassette subfamily B member [Source:HGNC Symbol;Acc:HGNC:43]	2200	0.5880624055862427	0.35474876	Yes	
row_27	CMPK2	cytidine/uridine monophosphate kinase 2 [Source:HGNC Symbol;Acc:HGNC:27015]	2250	0.5800468325614929	0.36461443	Yes	
row_28	PARP12	poly(ADP-ribose) polymerase family member 12 [Source:HGNC Symbol;Acc:HGNC:21919]	2272	0.5774936676025391	0.37618697	Yes	
row_29	RIPK2	receptor interacting serine/threonine kinase 2 [Source:HGNC Symbol;Acc:HGNC:10020]	2471	0.5476971864700317	0.37594384	Yes	
row_30	TDRD7	tudor domain containing 7 [Source:HGNC Symbol;Acc:HGNC:30831]	2510	0.5414607524871826	0.38564086	Yes	
row_31	PARP14	poly(ADP-ribose) polymerase family member 14 [Source:HGNC Symbol;Acc:HGNC:29232]	2841	0.5005924105644226	0.3760304	No	
row_32	LGALS3BP	galectin 3 binding protein [Source:HGNC Symbol;Acc:HGNC:6564]	3352	0.4414711892604828	0.35376045	No	
row_33	CNP	2',3'-cyclic nucleotide 3' phosphodiesterase [Source:HGNC Symbol;Acc:HGNC:2158]	3354	0.4411548674106598	0.3635485	No	
row_34	IFI44L	interferon induced protein 44 like [Source:HGNC Symbol;Acc:HGNC:17817]	3807	0.40255796909332275	0.34406337	No	
row_35	CCRL2	C-C motif chemokine receptor like 2 [Source:HGNC Symbol;Acc:HGNC:1612]	3897	0.39773279428482056	0.34733814	No	
row_36	TMEM140	transmembrane protein 140 [Source:HGNC Symbol;Acc:HGNC:21870]	3935	0.3916839063167572	0.3537536	No	
row_37	CASP8	caspase 8 [Source:HGNC Symbol;Acc:HGNC:1509]	4086	0.3736855387687683	0.3526486	No	
row_38	SP110	SP110 nuclear body protein [Source:HGNC Symbol;Acc:HGNC:5401]	4095	0.373117595911026	0.36047637	No	
