,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,mapIds
ENSMUSG00000000001,3270.61238870773,0.401438515915933,0.111664232870935,3.595050139107,0.000324329108357064,0.00844430314313965,Gnai3
ENSMUSG00000000003,0,NA,NA,NA,NA,NA,Pbsn
ENSMUSG00000000028,232.841262129522,-0.0946907762547929,0.225056169606445,-0.420742859084371,0.673942861006411,0.83878240082937,Cdc45
ENSMUSG00000000031,6.04810680223703,-1.97107476201887,1.39549807633271,-1.41245251100506,0.157816764181658,NA,H19
ENSMUSG00000000037,23.4426548433652,0.578930541260482,0.506868681160678,1.14217067019171,0.25338308480842,0.514422378250121,Scml2
ENSMUSG00000000049,3.0555299472827,1.22770669609296,1.69797543714759,0.723041493553862,0.469654392137324,NA,Apoh
ENSMUSG00000000056,871.465740625658,-0.0658456720100212,0.14132145698798,-0.465928341055963,0.641266794119737,0.820697067839737,Narf
ENSMUSG00000000058,171.118576844897,0.757343560386801,0.24506283671889,3.09040558954904,0.00199883339087821,0.0268865946756383,Cav2
ENSMUSG00000000078,2232.59204530583,0.281343834803379,0.16457275836625,1.70954073806833,0.0873508323219885,0.284500319719741,Klf6
ENSMUSG00000000085,991.376161817786,0.162121328021156,0.150512577958197,1.07712810597253,0.281423038281794,0.545723679809144,Scmh1
ENSMUSG00000000088,4073.54931568638,0.169163256981749,0.258637891843,0.654054422483601,0.513076743884453,0.743889419144517,Cox5a
ENSMUSG00000000093,7.05469139003243,-0.389781025821039,0.93590808072742,-0.416473619415796,0.677063467399936,NA,Tbx2
ENSMUSG00000000094,0,NA,NA,NA,NA,NA,Tbx4
ENSMUSG00000000103,0,NA,NA,NA,NA,NA,Zfy2
ENSMUSG00000000120,1.00896449853643,-0.838960875317822,3.97591081498681,-0.211010989521053,0.832878696027676,NA,Ngfr
ENSMUSG00000000125,2.2929854335237,-0.535603883719969,1.78449618808193,-0.300142912771175,0.764068147580079,NA,Wnt3
ENSMUSG00000000126,1.0378782581953,-1.62979681352303,2.94307661169062,-0.553773152574106,0.579734104182644,NA,Wnt9a
ENSMUSG00000000127,225.854731316523,0.294494635318907,0.176523052735615,1.66830694776156,0.0952548094209083,0.299229848104109,Fer
ENSMUSG00000000131,1197.20856314333,0.0631712119178994,0.131566407342053,0.480146970599143,0.631122891061498,0.815531277245435,Xpo6
ENSMUSG00000000134,522.495894730287,0.0404750732483305,0.160646790623015,0.251950711815414,0.801079161247359,0.907302117512248,Tfe3
ENSMUSG00000000142,589.949514730056,-0.9001703523464,0.194122456417742,-4.637126322002,3.53286517214268e-06,0.000338631669092787,Axin2
ENSMUSG00000000148,293.150170707292,-0.0211700195909079,0.172476721377958,-0.12274131501211,0.902311946553637,0.959823749250581,Brat1
ENSMUSG00000000149,411.838628271144,-0.016995138201449,0.208082352052879,-0.0816750581381842,0.934905112800868,0.973185758156483,Gna12
ENSMUSG00000000154,2197.76585228362,-0.0672681411461297,0.161094735046687,-0.417568836912235,0.676262385248334,0.840133954023948,Slc22a18
ENSMUSG00000000157,72.7614703749694,0.481025803120779,0.359658122798555,1.3374529104969,0.181074843357698,0.428121409290812,Itgb2l
ENSMUSG00000000159,1114.19520718747,0.0506677484064377,0.159127325578818,0.318410104751879,0.750173874354516,0.882477266740676,Igsf5
ENSMUSG00000000167,36.578968901927,-0.264168508683804,0.387393303800887,-0.68191294504043,0.495293999436766,0.730715352036456,Pih1d2
ENSMUSG00000000168,1889.88894580802,0.321781557947443,0.120938373703601,2.66070683847687,0.00779768171421512,0.0648887468694171,Dlat
ENSMUSG00000000171,6455.6426738198,0.0039492010797675,0.138783158180539,0.0284559101517929,0.977298532377573,0.99054147481521,Sdhd
ENSMUSG00000000182,0,NA,NA,NA,NA,NA,Fgf23
ENSMUSG00000000183,0,NA,NA,NA,NA,NA,Fgf6
ENSMUSG00000000184,3379.84140510674,0.108685750295183,0.178740478453797,0.608064559496398,0.543144656508918,0.76352980502177,Ccnd2
ENSMUSG00000000194,1552.59937975019,0.0965322956377601,0.0991518191492655,0.973580681282691,0.330264782319513,0.59571038238284,Gpr107
ENSMUSG00000000197,0,NA,NA,NA,NA,NA,Nalcn
ENSMUSG00000000202,4.60794752208929,-1.19264073057405,1.16949125332739,-1.01979448514967,0.307825939236653,NA,Btbd17
ENSMUSG00000000204,1721.21893209737,0.0991602525167321,0.194410474673333,0.510056120604358,0.610012145173856,0.804643950922498,Slfn4
ENSMUSG00000000214,1.47850213749113,-0.38196530905114,1.77787007002918,-0.214844332828479,0.829888687268073,NA,Th
ENSMUSG00000000215,0,NA,NA,NA,NA,NA,Ins2
ENSMUSG00000000216,9.93963688688529,-0.296996670427607,0.948970437340725,-0.312967252446634,0.754305541982089,NA,Scnn1g
