baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	mapIds
ENSMUSG00000000001	3270.61238870773	-0.446901756322806	0.170359145767142	-2.62329183625786	0.00870846428009753	0.112742415640312	Gnai3
ENSMUSG00000000003	0	NA	NA	NA	NA	NA	Pbsn
ENSMUSG00000000028	232.841262129522	0.591224008857	0.346248052516142	1.70751576668994	0.0877262298074954	0.364595319691428	Cdc45
ENSMUSG00000000031	6.04810680223703	1.52615829390329	2.13639614240938	0.714361097929211	0.475003920816838	NA	H19
ENSMUSG00000000037	23.4426548433652	0.724490514222024	0.801825619207729	0.903551217205908	0.366233418481309	0.686314333028111	Scml2
ENSMUSG00000000049	3.0555299472827	-0.407376103769435	2.55680496969448	-0.1593301439093	0.873408772697591	NA	Apoh
ENSMUSG00000000056	871.465740625658	0.18046506596503	0.218085572708069	0.827496581842219	0.407955658683875	0.717913924888631	Narf
ENSMUSG00000000058	171.118576844897	-1.11122744243715	0.374637572578392	-2.9661398743038	0.00301563303532843	0.0620292518189862	Cav2
ENSMUSG00000000078	2232.59204530583	-0.843498732729235	0.251138570752801	-3.35869846754644	0.000783104653932966	0.0277617932426194	Klf6
ENSMUSG00000000085	991.376161817786	0.208057475954825	0.230194830777358	0.903832094110126	0.366084440897175	0.686314333028111	Scmh1
ENSMUSG00000000088	4073.54931568638	-0.586872440839356	0.393738208212027	-1.49051432804643	0.136089051943665	0.449283904842253	Cox5a
ENSMUSG00000000093	7.05469139003243	0.647859036066978	1.52118988179076	0.425889656394711	0.670188252373793	0.873811526100606	Tbx2
ENSMUSG00000000094	0	NA	NA	NA	NA	NA	Tbx4
ENSMUSG00000000103	0	NA	NA	NA	NA	NA	Zfy2
ENSMUSG00000000120	1.00896449853643	-4.21089057354373	5.94815126486416	-0.707932664459551	0.478987073882417	NA	Ngfr
ENSMUSG00000000125	2.2929854335237	-0.705792625800893	2.52452070465127	-0.279574900891292	0.779803665675068	NA	Wnt3
ENSMUSG00000000126	1.0378782581953	2.74838856345295	4.39201546898294	0.625769326830125	0.531466253443944	NA	Wnt9a
ENSMUSG00000000127	225.854731316523	-0.01115945020666	0.272548599259649	-0.0409448085111187	0.967339895353068	0.989001911694105	Fer
ENSMUSG00000000131	1197.20856314333	-0.125217395595168	0.200976490715226	-0.623044989737608	0.533254957629008	0.797496508221458	Xpo6
ENSMUSG00000000134	522.495894730287	-0.215757070928874	0.246653198902505	-0.874738587980595	0.381716158864987	0.698297947905629	Tfe3
ENSMUSG00000000142	589.949514730056	0.19378119275875	0.298354569193162	0.649499665055545	0.516015462872557	0.787370227059773	Axin2
ENSMUSG00000000148	293.150170707292	0.20790882441009	0.26531268122968	0.783636965434395	0.433253159052055	0.733518557987145	Brat1
ENSMUSG00000000149	411.838628271144	-0.148913793381848	0.317762847108654	-0.468631857804728	0.639332801678464	0.85905180222613	Gna12
ENSMUSG00000000154	2197.76585228362	0.423373746828129	0.24582314440499	1.72226967421191	0.0850206785230031	0.359723567041947	Slc22a18
ENSMUSG00000000157	72.7614703749694	0.307629305661545	0.556225581307732	0.55306572728691	0.580218403973446	0.826997032686601	Itgb2l
ENSMUSG00000000159	1114.19520718747	0.163091889722023	0.243044486653317	0.671037191453184	0.502196837118251	0.77901158986374	Igsf5
ENSMUSG00000000167	36.578968901927	-0.195073408734763	0.607031691225722	-0.321356218389306	0.747940457588508	0.910660386565686	Pih1d2
ENSMUSG00000000168	1889.88894580802	-0.255864341754613	0.184998718725589	-1.3830600747789	0.166646446340577	0.491070348515119	Dlat
ENSMUSG00000000171	6455.6426738198	-0.0257628103873874	0.211320750397727	-0.121913301646427	0.902967681020199	0.968995794263411	Sdhd
ENSMUSG00000000182	0	NA	NA	NA	NA	NA	Fgf23
ENSMUSG00000000183	0	NA	NA	NA	NA	NA	Fgf6
ENSMUSG00000000184	3379.84140510674	-0.148342150342644	0.272514936425776	-0.544345026691951	0.586204067605501	0.83032873179949	Ccnd2
ENSMUSG00000000194	1552.59937975019	0.109079418440173	0.15238935569167	0.715794209806055	0.474118428237887	0.762811478404398	Gpr107
ENSMUSG00000000197	0	NA	NA	NA	NA	NA	Nalcn
ENSMUSG00000000202	4.60794752208929	3.16150018102317	1.94473507532411	1.62567139408244	0.104019578526669	NA	Btbd17
ENSMUSG00000000204	1721.21893209737	-0.274880435266937	0.296557554557055	-0.926904174393751	0.353976289657896	0.676182529159458	Slfn4
ENSMUSG00000000214	1.47850213749113	2.52028550580271	3.08522478871106	0.816888777448088	0.413991991759117	NA	Th
ENSMUSG00000000215	0	NA	NA	NA	NA	NA	Ins2
ENSMUSG00000000216	9.93963688688529	-1.29773166636548	1.51832210421099	-0.854714334176053	0.392709313088571	0.707125270271264	Scnn1g
ENSMUSG00000000223	4.4903722614944	-0.164081811648891	1.86312022925133	-0.0880682894602167	0.929822399766915	NA	Drp2
ENSMUSG00000000244	1.74627103610516	1.58722845111619	3.03155201051781	0.52356959260781	0.600577935401361	NA	Tspan32
ENSMUSG00000000247	0.606850903172407	1.54522946136446	6.74062341185889	0.229241327834145	0.818681352744099	NA	Lhx2
ENSMUSG00000000248	24.5746680436535	2.05267021846398	1.22845308264308	1.67093904314811	0.0947337186646862	0.378520417715465	Clec2g
ENSMUSG00000000253	413.328321839369	1.32502398927791	0.318935002006087	4.15452672470431	3.25961520044054e-05	0.00465081892714813	Gmpr
ENSMUSG00000000263	0.127578622113432	-1.38920001921926	6.74168315440178	-0.206061303594819	0.836743025322903	NA	Glra1
ENSMUSG00000000266	898.170412687313	-0.597663322120127	0.198047407829238	-3.01777906952182	0.00254634468380981	0.0553162352507989	Mid2
ENSMUSG00000000275	2176.57476796045	-0.555186251468202	0.20915228194543	-2.65445945080845	0.00794355861252399	0.107474153815483	Trim25
ENSMUSG00000000276	192.121839664445	-0.391572946536498	0.338494436878273	-1.15680762776409	0.247350964746457	0.581924976016312	Dgke
ENSMUSG00000000278	825.033775333336	-0.68855240705098	0.222936530493897	-3.08855801032496	0.00201130422316152	0.0482660515396316	Scpep1
ENSMUSG00000000282	453.513548659388	0.421324093442449	0.348754245425905	1.20808305266054	0.227015317804388	0.559905128114898	Mnt
ENSMUSG00000000290	41.1496364609535	-1.01251723735387	0.533492549679036	-1.89790323775473	0.0577088297854644	0.297943910261468	Itgb2
ENSMUSG00000000295	409.327810224499	0.840799766068433	0.381424340645691	2.20436840670706	0.0274984456613095	0.207265789766781	Hddc2
ENSMUSG00000000296	113.336612275239	0.602862677203763	0.61001201990883	0.988279996997213	0.32301553906475	0.651461766011393	Tpd52l1
ENSMUSG00000000301	115.475325545562	0.53665557035287	0.390254646076514	1.37514204058355	0.169087412937502	0.494977822864618	Pemt
ENSMUSG00000000303	20707.6000597414	-0.836623643223947	0.210622557510637	-3.97214644581313	7.12279066351707e-05	0.0070788899996828	Cdh1
ENSMUSG00000000305	1.88721804182828	2.22420775565855	2.62309457739573	0.847932733659491	0.396475433408377	NA	Cdh4
ENSMUSG00000000308	31164.1840670901	0.128902341966865	0.319384191910736	0.403596499863373	0.686509459953789	0.881794638379349	Ckmt1
