"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","mapIds"
"ENSMUSG00000062006",3894.16788519591,5.4118039761545,0.325238695147297,16.6394837296453,3.60714601906941e-62,5.6231799291273e-58,"Rpl34"
"ENSMUSG00000027994",109.143863904708,3.2076318390343,0.436676466120918,7.34555692347773,2.04904099902376e-13,1.59712500668907e-09,"Mcub"
"ENSMUSG00000016024",921.951377918955,2.23179859809347,0.31098706641534,7.17649972977586,7.15187931375405e-13,3.71635488740373e-09,"Lbp"
"ENSMUSG00000059775",218.363558102535,3.52183326538993,0.532754495270186,6.61061201107996,3.82734392741650e-11,1.4916116121124e-07,"Rps26-ps1"
"ENSMUSG00000083833",807.773991052758,1.24654436637608,0.20446110785429,6.09673096002412,1.08259493824856e-09,3.37531449847136e-06,NA
"ENSMUSG00000074516",264.189782878212,1.68220998104377,0.300613741068375,5.59591845357843,2.19456841378619e-08,5.70185450041882e-05,NA
"ENSMUSG00000078882",19.5377756613796,10.0712763096214,1.8475859986754,5.45104602267061,5.00744083182401e-08,0.000111515707324721,NA
"ENSMUSG00000066116",85.5616106330145,2.5297076685007,0.46683175774822,5.4188851262023,5.99718340178502e-08,0.000116862615063033,"Gm10154"
"ENSMUSG00000017837",432.464699240294,1.49812455101675,0.281159042484134,5.32838829503871,9.90881088837223e-08,0.000154468452938835,"Nkiras2"
"ENSMUSG00000024885",247.367588687163,1.31460268394951,0.246466206860697,5.33380498971416,9.61758098560087e-08,0.000154468452938835,"Aldh3b1"
"ENSMUSG00000030629",1671.17436250649,-0.624447497168562,0.123072612171223,-5.07381363044287,3.89920964501354e-07,0.000506539826300968,"Zfand6"
"ENSMUSG00000042303",2443.03888327196,0.777911367670317,0.152889231021361,5.08807168741421,3.61722644689872e-07,0.000506539826300968,"Sgsm3"
"ENSMUSG00000024254",156.442170946989,2.05365395808287,0.406986975152394,5.04599430316877,4.5116884985191e-07,0.000541020861564725,"Abcg8"
"ENSMUSG00000066233",155.017348314355,1.62218954606802,0.324900750879005,4.99287718381463,5.94863876711902e-07,0.000662380926718703,"Tmem42"
"ENSMUSG00000056054",62.023154750688,4.14646825457373,0.844655573909175,4.90906398140883,9.15121209311258e-07,0.00095105496879688,"S100a8"
"ENSMUSG00000026822",279.835713674533,1.65234253607374,0.337738006981482,4.89237960169621,9.96240601835622e-07,0.00097064967137597,"Lcn2"
"ENSMUSG00000025792",3412.18307408331,0.733270858427407,0.151863556460703,4.828484697164,1.37575904035286e-06,0.00112877408842425,"Slc25a10"
"ENSMUSG00000074733",596.55080543277,-1.06313436273196,0.21984200189046,-4.83590193679954,1.32543256523925e-06,0.00112877408842425,"Zfp950"
"ENSMUSG00000080776",170.022772802569,2.04319783402158,0.422838829036719,4.83209604632632,1.35103044613837e-06,0.00112877408842425,"Gm12174"
"ENSMUSG00000024727",999.419600566919,-1.24070494279343,0.258266175759279,-4.80397767592241,1.55544179374762e-06,0.00115465629155865,"Trpm6"
"ENSMUSG00000068882",1912.39476905227,-0.59454176878224,0.12374195440058,-4.80469030622853,1.54991219847155e-06,0.00115465629155865,"Ssb"
"ENSMUSG00000032607",155.560798071394,-1.3173182575944,0.274899698103458,-4.79199601411941,1.65130184580463e-06,0.00116547462545449,"Amt"
"ENSMUSG00000079017",88.6325819623382,3.29600543836712,0.688983427944217,4.78386751362324,1.71954046991169e-06,0.00116547462545449,"Ifi27l2a"
"ENSMUSG00000041679",64.645678160767,2.51302952243961,0.527391546728414,4.76501669021579,1.88838017786892e-06,0.00122554635944337,"Fbxl9"
"ENSMUSG00000047632",51.1726901884591,-2.31644543852862,0.486960268584944,-4.75694956646046,1.96540246238273e-06,0.00122554635944337,"Fgfbp3"
"ENSMUSG00000029817",2021.51411103139,-0.884999141207052,0.186532563067752,-4.74447531654622,2.09047466719764e-06,0.00125340036872861,"Tra2a"
"ENSMUSG00000023019",937.231443028082,0.961727370263843,0.20369749417364,4.72135101202585,2.34283214853997e-06,0.00134749427204704,"Gpd1"
"ENSMUSG00000040505",411.438685470819,1.50381980101444,0.318961856149159,4.71473241085979,2.42028607462424e-06,0.00134749427204704,"Abcg5"
"ENSMUSG00000001823",43.8102501446822,4.35778923523376,0.931723130748178,4.67712895754175,2.90919318813812e-06,0.00145982396919007,"Hoxd12"
"ENSMUSG00000031805",725.584360014434,0.936345995165801,0.199869342046086,4.68479050153623,2.80246429776721e-06,0.00145982396919007,"Jak3"
"ENSMUSG00000059278",577.620705218672,1.21009201796869,0.259062037983183,4.67105110184938,2.99662370992893e-06,0.00145982396919007,"Naa38"
"ENSMUSG00000068240",3405.16877348203,1.58849860237504,0.339490465919863,4.67906690124844,2.88183407108292e-06,0.00145982396919007,"Gm11808"
