"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","mapIds"
"ENSMUSG00000024515",1903.03784261275,-2.04730824385817,0.128354028888285,-15.9504790117658,2.82720074526695e-57,4.2829264090049e-53,"Smad4"
"ENSMUSG00000027375",309.080214305473,-3.73997753459751,0.374653781100266,-9.98248976325318,1.81845514198575e-23,1.37738884729711e-19,"Mal"
"ENSMUSG00000068874",10833.2164846558,-1.13985690817857,0.153909186823518,-7.40603554410045,1.30130969045959e-13,6.57118016692409e-10,"Selenbp1"
"ENSMUSG00000023886",1156.25207415857,1.53524741725284,0.210553942063919,7.29146841044076,3.06594784918539e-13,1.16115109918274e-09,"Smoc2"
"ENSMUSG00000030711",3595.2053654851,-1.5456309090002,0.213024328710206,-7.25565440510244,3.99724495994467e-13,1.21108527796404e-09,"Sult1a1"
"ENSMUSG00000042745",3812.44001354837,-1.45780338810767,0.222541582981214,-6.55070108057392,5.72675878719853e-11,1.23935241238958e-07,"Id1"
"ENSMUSG00000047040",5282.49675652287,-0.642579794144066,0.0979776886173142,-6.5584298140966,5.43772892401743e-11,1.23935241238958e-07,"Prr15l"
"ENSMUSG00000040249",2252.44255754031,-0.901225047080911,0.142912185004299,-6.30614560300651,2.86069934463978e-10,5.4170917964935e-07,"Lrp1"
"ENSMUSG00000042524",604.441070110676,-0.996532956732422,0.159235142734225,-6.25824764320842,3.89327253338172e-10,6.55324284535552e-07,"Sun2"
"ENSMUSG00000019647",330.468944410486,-1.08479403936498,0.17528634085742,-6.18869692902863,6.06635883011122e-10,9.18992699173549e-07,"Sema6a"
"ENSMUSG00000031981",554.491303055378,-0.959005218554257,0.155452486235586,-6.16912113647958,6.86706051398818e-10,9.45719088421882e-07,"Capn9"
"ENSMUSG00000047730",38342.4376865741,-1.15257794760792,0.194611010786246,-5.92247038310632,3.17140935693988e-09,4.00364002902352e-06,"Fcgbp"
"ENSMUSG00000045019",581.681212893553,-1.38945929045585,0.237484595422535,-5.85073439388233,4.8940722884245e-09,5.70310008441099e-06,"Acer1"
"ENSMUSG00000026043",27.3895353764689,4.2042485025655,0.727145255075917,5.78185510146327,7.38813322648682e-09,7.46152201653659e-06,"Col3a1"
"ENSMUSG00000060508",682.34710093279,-1.04476317276809,0.180456345571671,-5.78956184366009,7.05702703648146e-09,7.46152201653659e-06,"Nlrp9b"
"ENSMUSG00000033032",371.282412279859,1.06080844034408,0.184003907902813,5.76514081920686,8.15896877125955e-09,7.72501361973818e-06,"Afap1l1"
"ENSMUSG00000001095",3448.51486190267,-0.927662323042517,0.161613587693575,-5.74000203993612,9.46754106337363e-09,8.43669291582631e-06,"Slc13a2"
"ENSMUSG00000026786",122.809540267284,2.00186732261449,0.351481554223169,5.69551175178721,1.230024123079e-08,1.03520196891798e-05,"Apbb1ip"
"ENSMUSG00000056870",68.620342127787,2.26736660133461,0.404416270730855,5.60651676362343,2.06438989243188e-08,1.64597065686582e-05,"Gulp1"
"ENSMUSG00000026784",967.049861490023,0.750943593914041,0.135908696262354,5.52535352457832,3.28822814496783e-08,2.49066840840588e-05,"Pdss1"
"ENSMUSG00000025608",69.9685005225423,1.70080484420683,0.30865542328888,5.51036760049086,3.58085073535335e-08,2.58315751380323e-05,"Podxl"
"ENSMUSG00000030737",110.93867327484,-1.65550281305459,0.304229452416347,-5.44162572001407,5.27965125353413e-08,3.63551985635403e-05,"Slco2b1"
"ENSMUSG00000003617",50.2163161413719,3.90800335577616,0.720071309527668,5.42724491875621,5.72305719475684e-08,3.76950406275528e-05,"Cp"
"ENSMUSG00000023067",2257.98078046768,-1.31245352359222,0.242648593810859,-5.40886515342948,6.3425360907435e-08,4.00346163494472e-05,"Cdkn1a"
"ENSMUSG00000038580",147.801916773221,-2.08557100594158,0.389721031945313,-5.35144586765395,8.72542401452207e-08,5.28725793583979e-05,"Sct"
"ENSMUSG00000031075",1851.69198134496,-1.26584436008591,0.239757494138332,-5.27968631235178,1.29405236523931e-07,7.49013891993288e-05,"Ano1"
"ENSMUSG00000056054",62.023154750688,3.22448351391371,0.611394713685529,5.27398003570607,1.33496435961573e-07,7.49013891993288e-05,"S100a8"
"ENSMUSG00000020646",485.680660624519,1.13202798435354,0.215247154712775,5.25920068892022,1.44682919540212e-07,7.8278626718381e-05,"Mboat2"
"ENSMUSG00000030157",2081.43060107232,-0.756846352663304,0.144414540187038,-5.24079051654408,1.5989014595409e-07,8.35233041744315e-05,"Clec2d"
"ENSMUSG00000054999",329.579389231952,-1.53373709605386,0.295944034905677,-5.18252410981248,2.18903059030386e-07,0.000110538748041711,"Naaladl1"
"ENSMUSG00000022445",315.6348477015,-1.53175260242117,0.296117868240257,-5.17278005384793,2.30636444255646e-07,0.000112706822388025,"Cyp2d26"
"ENSMUSG00000090962",21.4289990347411,5.14542398805931,0.998325087783025,5.15405658039279,2.54910974012412e-07,0.000120676448291063,NA
"ENSMUSG00000036805",2777.99413389642,0.616624745204805,0.120008489180389,5.13817605251186,2.77417922491125e-07,0.00012735163963085,"Noxa1"
"ENSMUSG00000015533",324.104114701528,0.93429874736173,0.184319815435232,5.06890018935609,4.00120968831979e-07,0.000178277428142225,"Itga2"
"ENSMUSG00000026077",362.057270108549,-1.03908362268033,0.208205218884667,-4.99067039840113,6.01700939075229e-07,0.000257907067848332,"Npas2"
"ENSMUSG00000039364",3272.1240850856,-0.883243040687253,0.177105153934411,-4.98711088337017,6.12888932770477e-07,0.000257907067848332,"Sectm1b"
"ENSMUSG00000000805",7413.10100098814,-1.02620275468642,0.206667721062918,-4.96547186666853,6.85342280353064e-07,0.000280601356893745,"Car4"
"ENSMUSG00000073758",938.656927341858,-0.954107042872134,0.192430309349919,-4.95819523491575,7.11510437777206e-07,0.00028364925320755,"Sh3d21"
"ENSMUSG00000031167",3481.89033398228,0.587179314313922,0.119414725012279,4.91714329412511,8.78162723853208e-07,0.000341109925734673,"Rbm3"
