"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","mapIds"
"ENSMUSG00000047040",5282.49675652287,-1.33479259088828,0.0953938589421283,-13.9924373087585,1.73367061291599e-44,2.62633761150643e-40,"Prr15l"
"ENSMUSG00000015533",324.104114701528,2.63156999282372,0.193689240823624,13.5865574238069,4.8118641170695e-42,3.64474647547429e-38,"Itga2"
"ENSMUSG00000024515",1903.03784261275,-1.69674197678158,0.125803124456965,-13.4872800982142,1.85830441331699e-41,9.38381785244636e-38,"Smad4"
"ENSMUSG00000030711",3595.2053654851,-2.39245450404962,0.207633973085903,-11.5224617074577,1.01664303011447e-30,3.85028131580103e-27,"Sult1a1"
"ENSMUSG00000006800",1533.83774932561,1.62563913680331,0.142370115944182,11.4184014392506,3.38401001854651e-30,1.02528735541922e-26,"Sulf2"
"ENSMUSG00000027375",309.080214305473,-4.13152333485811,0.367375169946988,-11.2460603569215,2.42168950246604e-29,6.11436237880966e-26,"Mal"
"ENSMUSG00000042524",604.441070110676,-1.66749787850274,0.15493927954806,-10.7622668916923,5.18780603493632e-27,1.122715337475e-23,"Sun2"
"ENSMUSG00000041126",1313.21761380328,-1.09614996139306,0.103339787028957,-10.6072403757316,2.75774016608913e-26,5.22212572201052e-23,"H2az2"
"ENSMUSG00000045019",581.681212893553,-2.42819554467796,0.231119118027407,-10.5062513452047,8.08434128332127e-26,1.36077429001149e-22,"Acer1"
"ENSMUSG00000047517",213723.860480927,1.32828574578077,0.129005096344751,10.2963819524701,7.31614018682045e-25,1.10832207690143e-21,"Dmbt1"
"ENSMUSG00000074447",7.50826254154906,-43.2567232614203,4.31875657474035,-10.016013292905,1.29626680032981e-23,1.78519506892694e-20,"Defa21"
"ENSMUSG00000074443",7.56151263049621,-43.1788315635611,4.31874471599561,-9.99800506930566,1.55497923832185e-23,1.96303170677814e-20,"Defa22"
"ENSMUSG00000016024",921.951377918955,2.40991122444758,0.242108032933488,9.95386726845874,2.42569421823428e-23,2.8266801316947e-20,"Lbp"
"ENSMUSG00000032261",3732.45991927748,1.02725611961571,0.106013836594162,9.68983061662226,3.33080604969406e-22,3.60417006048681e-19,"Sh3bgrl2"
"ENSMUSG00000068874",10833.2164846558,-1.42698781856897,0.150048330461588,-9.51018791198266,1.90318433333262e-21,1.92208929771039e-18,"Selenbp1"
"ENSMUSG00000009248",156.044800350078,-2.4217229531079,0.257015794609243,-9.42246742769171,4.40609933826934e-21,4.17174992971514e-18,"Ascl2"
"ENSMUSG00000026784",967.049861490023,1.25728435566669,0.134168691760502,9.37092207704468,7.1901602711634e-21,6.40727870281496e-18,"Pdss1"
"ENSMUSG00000042745",3812.44001354837,-1.99077994971879,0.216966833806053,-9.17550353109891,4.4946887645625e-20,3.78278000524208e-17,"Id1"
"ENSMUSG00000071711",2511.77218899183,-1.42972978322454,0.161208628129889,-8.86881676129997,7.39272095685266e-19,5.89433314607163e-16,"Mpst"
"ENSMUSG00000001095",3448.51486190267,-1.37620161048635,0.157543948595301,-8.73535050223695,2.42901763476535e-18,1.83985940745302e-15,"Slc13a2"
"ENSMUSG00000034653",459.525418472671,1.21270575579968,0.139425714935804,8.69786291831495,3.38192727248002e-18,2.32876437503636e-15,"Ythdc2"
"ENSMUSG00000041571",1377.15881927933,-1.4761002889084,0.169653153720116,-8.70069466167183,3.29858698394411e-18,2.32876437503636e-15,"Selenow"
"ENSMUSG00000074818",192.293535115169,-2.43246400038605,0.283600487479549,-8.57707975752851,9.73121440070118e-18,6.40948551983575e-15,"Pdzd7"
"ENSMUSG00000039234",1090.37222606862,1.24301066626125,0.147590044987301,8.42204951132171,3.69954649200646e-17,2.33518457530858e-14,"Sec24d"
"ENSMUSG00000058135",4078.52884101876,-1.16917095220784,0.139024015731786,-8.4098488024075,4.10539592712458e-17,2.48770571600041e-14,"Gstm1"
"ENSMUSG00000038335",587.486044899113,1.26022216567416,0.150215826905585,8.38941003511065,4.88587804564783e-17,2.84677563513535e-14,"Tsr1"
"ENSMUSG00000030157",2081.43060107232,-1.15995065509559,0.140827330704554,-8.23668707837039,1.77044750723826e-16,9.93352195820461e-14,"Clec2d"
"ENSMUSG00000022982",4424.9436405417,-0.706363871035166,0.0858820381501273,-8.22481494675751,1.95492449739957e-16,1.05768397182521e-13,"Sod1"
"ENSMUSG00000021670",5087.36403957991,1.12566971970421,0.13850702192356,8.12716715781709,4.39439197156162e-16,2.29553944748921e-13,"Hmgcr"
"ENSMUSG00000025212",400.030199978832,-1.67291105584684,0.206892787837956,-8.08588386926812,6.1714971425782e-16,3.11640034043057e-13,"Sfxn3"
"ENSMUSG00000039286",756.326415607171,1.06462877160725,0.136326833964129,7.8093852886467,5.74675743579674e-15,2.80831059338338e-12,"Fndc3b"
"ENSMUSG00000030762",3697.6529821911,-1.59056391023715,0.206545475187839,-7.70079280986736,1.35224594984745e-14,6.40161684194969e-12,"Aqp8"
"ENSMUSG00000020303",647.450819919143,1.28031736475875,0.169095773300057,7.57155155195309,3.68792661973185e-14,1.69298182916114e-11,"Stc2"
"ENSMUSG00000020072",51.8238497724419,-2.97352555767837,0.395795058092645,-7.5127910186851,5.78798860572642e-14,2.55676981901664e-11,"Pbld2"
"ENSMUSG00000022018",177.196760049458,-2.14245747008658,0.285302613660233,-7.50942111115054,5.93893946039223e-14,2.55676981901664e-11,"Rgcc"
"ENSMUSG00000030409",247.049887595209,-1.95794747104382,0.260835839591226,-7.50643574944401,6.07589368833579e-14,2.55676981901664e-11,"Dmpk"
"ENSMUSG00000032028",2230.24129119637,-1.54979846984546,0.206942067984333,-7.48904504985809,6.93765269346488e-14,2.84050001765674e-11,"Nxpe2"
"ENSMUSG00000085873",241.720272804312,1.81808164227818,0.243119683500545,7.47813429213396,7.53851441747878e-14,3.00528828711542e-11,"Ttc39aos1"
"ENSMUSG00000037926",586.533161867392,1.26302102984163,0.170046277092576,7.42751356534565,1.10658037568345e-13,4.29835541313555e-11,"Ssh2"
"ENSMUSG00000056054",62.023154750688,4.76088632236396,0.642144773186092,7.4140388914826,1.22509968031351e-13,4.63975876426736e-11,"S100a8"
"ENSMUSG00000020644",177.42452446878,-1.77814113194447,0.241440350266851,-7.36472230088791,1.77516008519228e-13,6.4028333644233e-11,"Id2"
"ENSMUSG00000021733",2434.57732634175,1.12417321661731,0.152599750998883,7.36680898401691,1.74760606209159e-13,6.4028333644233e-11,"Slc4a7"
"ENSMUSG00000035133",1442.26503090668,1.30689555496457,0.17841861131988,7.32488357182357,2.3910621155022e-13,8.42376743900994e-11,"Arhgap5"
"ENSMUSG00000029333",328.031211331503,-1.77746666534986,0.243087382730733,-7.31204822472728,2.63100644252451e-13,9.05843559040995e-11,NA
