"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","mapIds"
"ENSMUSG00000062006",3894.16788519591,-5.61776425667254,0.287556256358068,-19.5362268511287,5.4031821835683e-85,8.66238167669671e-81,"Rpl34"
"ENSMUSG00000024515",1903.03784261275,-1.83429831585006,0.143687557251076,-12.7658814092361,2.54256173582402e-37,2.03811748743654e-33,"Smad4"
"ENSMUSG00000068874",10833.2164846558,-1.91724706047555,0.168964168734034,-11.3470629592093,7.66958327505702e-30,4.09862530219047e-26,"Selenbp1"
"ENSMUSG00000030711",3595.2053654851,-2.44366124306631,0.233834158827545,-10.4504032059257,1.45903600379331e-25,5.84781630320359e-22,"Sult1a1"
"ENSMUSG00000042745",3812.44001354837,-2.39260226252534,0.244652892480923,-9.77957888935201,1.37782609178601e-22,4.41786158070268e-19,"Id1"
"ENSMUSG00000083833",807.773991052758,-1.68869783472788,0.179937122182541,-9.38493299350839,6.29564587250605e-21,1.68219657713362e-17,NA
"ENSMUSG00000068882",1912.39476905227,1.02597412168412,0.109902608635115,9.33530272325417,1.00703061157264e-20,2.30638782353321e-17,"Ssb"
"ENSMUSG00000027375",309.080214305473,-3.5690817946534,0.411810993032492,-8.66679582390798,4.44450946483213e-18,8.90679696752359e-15,"Mal"
"ENSMUSG00000025792",3412.18307408331,-1.12593084839015,0.133495689948834,-8.43421123799354,3.33443971627546e-17,5.93974861459202e-14,"Slc25a10"
"ENSMUSG00000015533",324.104114701528,1.99102353579691,0.240431300977188,8.28104962916548,1.22094288798517e-16,1.95741563801783e-13,"Itga2"
"ENSMUSG00000001095",3448.51486190267,-1.46309350699097,0.177365579468609,-8.2490272992901,1.59688957166332e-16,2.13344446774219e-13,"Slc13a2"
"ENSMUSG00000021733",2434.57732634175,1.42588323134081,0.172795838107193,8.25183781600265,1.55977009292399e-16,2.13344446774219e-13,"Slc4a7"
"ENSMUSG00000047040",5282.49675652287,-0.869859310895913,0.106973499618135,-8.131540185196,4.23869961745581e-16,5.22729478977319e-13,"Prr15l"
"ENSMUSG00000066861",1172.45392389002,-1.26235006225444,0.156075844616499,-8.08805530001275,6.06248813300762e-16,6.94241498202701e-13,"Oas1g"
"ENSMUSG00000074884",2357.65343699868,-1.2114692198455,0.158014714754112,-7.66681268722774,1.76322982497009e-14,1.88454003692803e-11,"Serf2"
"ENSMUSG00000017057",2336.75214467146,1.13679956072076,0.148801285683643,7.63971598429356,2.1770142549055e-14,2.18136828341531e-11,"Il13ra1"
"ENSMUSG00000066258",483.960503965826,-1.5723372702822,0.206163804768675,-7.6266407289409,2.40949873400236e-14,2.27229904138387e-11,"Trim12a"
"ENSMUSG00000034187",1208.6337436852,0.861083140385891,0.113462303393844,7.58915617460144,3.21995478149605e-14,2.86790639205248e-11,"Nsf"
