"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","mapIds"
"ENSMUSG00000016024",921.951377918955,2.45564543536445,0.241955538749665,10.1491598334731,3.34228305992023e-24,4.32491427953678e-20,"Lbp"
"ENSMUSG00000015533",324.104114701528,1.69727124546199,0.195554624789223,8.67926926960373,3.9831965000738e-18,2.57712813554775e-14,"Itga2"
"ENSMUSG00000006800",1533.83774932561,1.09687465431245,0.142627462987108,7.69048703061902,1.46575987657141e-14,6.32231093427803e-11,"Sulf2"
"ENSMUSG00000041126",1313.21761380328,-0.770357139335315,0.102185826961406,-7.53878656407276,4.74364617115378e-14,1.53456953636825e-10,"H2az2"
"ENSMUSG00000047040",5282.49675652287,-0.692212796744213,0.094857456155849,-7.29739995986104,2.93381711874202e-13,7.59271870330434e-10,"Prr15l"
"ENSMUSG00000058135",4078.52884101876,-1.00056219348802,0.138823287247376,-7.20745210207467,5.70084825896103e-13,1.2294829411826e-09,"Gstm1"
"ENSMUSG00000021670",5087.36403957991,0.993907157908336,0.138491686147614,7.17665576581228,7.14372528177136e-13,1.32056864494459e-09,"Hmgcr"
"ENSMUSG00000047517",213723.860480927,0.91961912835041,0.129006459307688,7.12847351431503,1.01488121924908e-12,1.64157037213538e-09,"Dmbt1"
"ENSMUSG00000069874",1301.56364699114,0.949531080629557,0.138439997580599,6.85879151418468,6.94455005541605e-12,9.98471974634264e-09,"Irgm2"
"ENSMUSG00000022018",177.196760049458,-1.87568016949468,0.28167341131395,-6.65906008218884,2.75584269365812e-11,3.5660604455936e-08,"Rgcc"
"ENSMUSG00000009248",156.044800350078,-1.60618918273877,0.246085556878379,-6.5269542963571,6.71205164578674e-11,7.89581348149822e-08,"Ascl2"
"ENSMUSG00000024066",2013.30221547867,0.88101584569724,0.135556004557112,6.49927569476315,8.0707638164233e-11,8.70297364870979e-08,"Xdh"
"ENSMUSG00000026822",279.835713674533,1.67853617298264,0.260854060599729,6.43477110965234,1.23659533993639e-10,1.23088797682899e-07,"Lcn2"
"ENSMUSG00000026675",628.204788092237,1.2877591873895,0.202293732084009,6.36578886613606,1.94288541462572e-10,1.79578123323263e-07,"Hsd17b7"
"ENSMUSG00000034653",459.525418472671,0.87119468577043,0.139846948773067,6.22962955869804,4.67539371727091e-10,3.40694531175905e-07,"Ythdc2"
"ENSMUSG00000039234",1090.37222606862,0.920844342682304,0.147724636375348,6.23351910200386,4.56071713291801e-10,3.40694531175905e-07,"Sec24d"
"ENSMUSG00000051554",452.838440931437,1.10649244538599,0.177663327626286,6.22802949921941,4.72338146687237e-10,3.40694531175905e-07,NA
"ENSMUSG00000079363",127.792625147989,2.09550821603543,0.336492357029099,6.22750612981744,4.73918204108678e-10,3.40694531175905e-07,"Gbp4"
"ENSMUSG00000016028",2242.78459967612,0.720963948804744,0.118488085720502,6.08469572633153,1.16712745737363e-09,7.36305165823675e-07,"Celsr1"
"ENSMUSG00000037926",586.533161867392,1.03440220783929,0.170106134922011,6.08092240949179,1.19493110373239e-09,7.36305165823675e-07,"Ssh2"
"ENSMUSG00000074892",15364.1105219314,0.686261055542113,0.112845863182487,6.08140197777866,1.19136191246531e-09,7.36305165823675e-07,"B3galt5"
"ENSMUSG00000061808",318.319218092727,-2.25273805975976,0.372524202937469,-6.04722603792243,1.47360947083503e-09,8.66750297845696e-07,"Ttr"
"ENSMUSG00000037685",1476.10022792502,0.711733227288129,0.118242241127819,6.01928059295453,1.75193948412128e-09,9.85656388023015e-07,"Atp8a1"
"ENSMUSG00000031551",463.762660061613,1.97020511615617,0.329850659356014,5.97302160924193,2.32899036343739e-09,1.25571397095332e-06,"Ido1"
"ENSMUSG00000021823",573.182057699811,1.34611065422547,0.229633093848792,5.86200634962419,4.57307533388661e-09,2.36702379281971e-06,"Vcl"
"ENSMUSG00000030748",1155.26623851019,0.808468992731301,0.139181688724363,5.80873102015883,6.29481258810057e-09,3.01684721814894e-06,"Il4ra"
"ENSMUSG00000038582",712.064613599879,0.704582828137482,0.121227918278971,5.81205087194591,6.17120793444166e-09,3.01684721814894e-06,"Pptc7"
"ENSMUSG00000070348",1767.28614093753,0.990405326679268,0.171022970858434,5.79106608725144,6.99410478778505e-09,3.23227556978352e-06,"Ccnd1"
"ENSMUSG00000041439",3834.79242992765,0.64864653232056,0.112754965632799,5.75270923706331,8.78244649631333e-09,3.91878819525153e-06,"Mfsd6"
"ENSMUSG00000041571",1377.15881927933,-0.964860919530582,0.168575327216473,-5.72361884424267,1.04278560875322e-08,4.49788192575557e-06,"Selenow"
"ENSMUSG00000050965",2114.54138613133,0.617709897970364,0.108079598248585,5.71532377969819,1.09495338386803e-08,4.57054735072655e-06,"Prkca"
"ENSMUSG00000031906",1990.03878390986,0.747693296542017,0.131310774721933,5.69407421535171,1.24043123462102e-08,5.01599380499876e-06,"Smpd3"
"ENSMUSG00000022351",3778.71015534331,0.865304187191946,0.152644973696078,5.66873684891059,1.43854109504897e-08,5.64082477876776e-06,"Sqle"
"ENSMUSG00000040351",1059.53078425513,0.602974504359267,0.10694943411682,5.63794011009578,1.72096336122907e-08,6.54978408656004e-06,"Ankib1"
"ENSMUSG00000085873",241.720272804312,1.36933111555637,0.243814770065612,5.61627630347362,1.95116567148581e-08,7.21373822543609e-06,"Ttc39aos1"
"ENSMUSG00000001248",312.495336478146,-1.37681253383095,0.245922091592007,-5.59857199049498,2.16124651882685e-08,7.76848054267208e-06,"Gramd1a"
"ENSMUSG00000019699",346.376865921519,1.49690082345781,0.268122622325893,5.58289640192458,2.36545661669784e-08,8.17958004391325e-06,"Akt3"
"ENSMUSG00000038335",587.486044899113,0.84062148859364,0.150642867590759,5.5802276074384,2.40204050748612e-08,8.17958004391325e-06,"Tsr1"
"ENSMUSG00000040540",167.557515433112,2.16460755055712,0.388472553532182,5.57209906047532,2.51688232225428e-08,8.35088647435137e-06,NA
"ENSMUSG00000032261",3732.45991927748,0.586847134407497,0.106127842947683,5.52962463108564,3.20916735652286e-08,1.03816563983514e-05,"Sh3bgrl2"
"ENSMUSG00000041476",78.4859838874117,-1.95443163391168,0.360002281255086,-5.42894235863699,5.6688987616797e-08,1.78915975551549e-05,"Smpx"
"ENSMUSG00000076609",333.048318115049,-1.95674384324906,0.362045227971898,-5.40469447480453,6.49189536453987e-08,2.00012204802728e-05,"Igkc"
"ENSMUSG00000071711",2511.77218899183,-0.864038206675445,0.160626891230917,-5.37916285407844,7.48329933303511e-08,2.25195100859243e-05,"Mpst"
"ENSMUSG00000013236",481.019227355316,-0.833870120758581,0.155557229547621,-5.36053594669675,8.29754134721127e-08,2.40106191532259e-05,"Ptprs"
"ENSMUSG00000026797",354.906295785875,0.91463014362784,0.170659074069326,5.35939942611134,8.349906197026e-08,2.40106191532259e-05,"Stxbp1"
"ENSMUSG00000031822",590.439236701545,0.892351265462387,0.16687307856529,5.3474848857256,8.91848565005509e-08,2.50880878938506e-05,"Gse1"
"ENSMUSG00000021733",2434.57732634175,0.810792947069539,0.15266320801182,5.31099115254256,1.09030624124765e-07,3.00182186420097e-05,"Slc4a7"
"ENSMUSG00000017057",2336.75214467146,0.694591002294256,0.131158957140413,5.29579540305934,1.18499458327292e-07,3.19454789740658e-05,"Il13ra1"
"ENSMUSG00000058258",1164.65675035653,0.889127338284392,0.168843397291905,5.26598820294539,1.39437238659896e-07,3.68228136379398e-05,"Idi1"
"ENSMUSG00000048027",1594.03707824938,-0.679328285603403,0.129194412757504,-5.25818625669586,1.45483131128289e-07,3.69127787607856e-05,"Rgmb"
"ENSMUSG00000062826",231.48319084352,2.10738372095486,0.400774357692776,5.25827982879665,1.4540914007979e-07,3.69127787607856e-05,"Ces2f"
"ENSMUSG00000035248",1172.25530854424,0.724590937096884,0.137936990541283,5.25305745944936,1.4959484113604e-07,3.722610085193e-05,"Tut7"
"ENSMUSG00000072893",261.366076204892,-1.37571757432682,0.262456087515449,-5.24170571675478,1.59098968669481e-07,3.88441632940205e-05,"4933439C10Rik"
"ENSMUSG00000029371",140.498741665088,1.97040204188888,0.377306794240182,5.2222808387452,1.76732664293165e-07,4.23503828880289e-05,"Cxcl5"
"ENSMUSG00000025314",1498.05123378398,0.615085994904945,0.118264874326853,5.20091868702289,1.98305852826251e-07,4.50189076416086e-05,"Ptprj"
"ENSMUSG00000029482",3515.41437451216,0.891605412436482,0.17135350743538,5.20330996301737,1.95769934572104e-07,4.50189076416086e-05,"Aacs"
"ENSMUSG00000090535",223.684029877091,1.56200318436518,0.300248770704145,5.20236329594942,1.9677009245419e-07,4.50189076416086e-05,NA
"ENSMUSG00000073617",448.641940340689,-0.810671466869868,0.156073026395826,-5.19418047814283,2.05623594255024e-07,4.58753329251726e-05,NA
"ENSMUSG00000001763",388.104720119484,-1.08974518771085,0.210065547394524,-5.18764357709837,2.12971716233059e-07,4.67093899670473e-05,"Tspan33"
"ENSMUSG00000025196",111.408316348856,-2.19815874008015,0.425273428828203,-5.16881279448131,2.35585732483913e-07,5.08079896390306e-05,"Cpn1"
"ENSMUSG00000029992",19417.9115515443,0.517443705696296,0.100239146472552,5.16209209580595,2.44205086786773e-07,5.18035052954236e-05,"Gfpt1"
"ENSMUSG00000033105",1654.37690094955,0.832038518397573,0.161344060264621,5.15692066403277,2.51044105793461e-07,5.23953343381836e-05,"Lss"
"ENSMUSG00000028461",888.144343109389,-0.650339977450696,0.126557907779698,-5.13867516348924,2.76682210242973e-07,5.59963193728866e-05,"Ccdc107"
"ENSMUSG00000035181",1315.44452535475,0.587367191569309,0.114307315505113,5.13849169647443,2.76952429664973e-07,5.59963193728866e-05,"Heatr5a"
"ENSMUSG00000035933",346.860505726608,1.03538791204752,0.202305820268185,5.11793437615866,3.08900035702495e-07,6.14948686460044e-05,"Cog5"
"ENSMUSG00000087281",106.385171884616,1.35461067166762,0.265213613940192,5.10762117955642,3.26239873454818e-07,6.3962787310687e-05,"Gm16015"
"ENSMUSG00000035133",1442.26503090668,0.91061438089438,0.178559098106412,5.09979267677361,3.40025717024835e-07,6.567063848211e-05,"Arhgap5"
"ENSMUSG00000020300",1244.17711465804,0.691693689462324,0.13581727613727,5.09282551627106,3.52766323618773e-07,6.71293562886312e-05,"Cpeb4"
"ENSMUSG00000019769",130.511199912902,1.13470055209241,0.223557442885684,5.07565544428164,3.86162508407764e-07,7.24194617216879e-05,NA
"ENSMUSG00000054404",93.2598491586551,1.73458756005167,0.342223900911475,5.068575150455,4.00804733223674e-07,7.40916178273477e-05,"Slfn5"
"ENSMUSG00000035150",1672.17939161969,0.619434781324668,0.12252746927299,5.0554768249116,4.29316762444026e-07,7.82444916341648e-05,"Eif2s3x"
"ENSMUSG00000046230",591.521592892882,0.787163781791045,0.156026974406944,5.04504932421489,4.53404388726795e-07,7.92844971638476e-05,"Vps13a"
"ENSMUSG00000060716",1119.57634443145,0.785101274396824,0.155516547481871,5.04834557549797,4.45652484222206e-07,7.92844971638476e-05,"Plekhh1"
"ENSMUSG00000078695",2164.40327427031,-0.602252925139095,0.119320483424339,-5.0473557251466,4.47966815088823e-07,7.92844971638476e-05,"Cisd3"
"ENSMUSG00000024713",269.845052518317,1.20799878539144,0.240139410663216,5.03040622134948,4.89441737673658e-07,8.44450144732951e-05,"Pcsk5"
"ENSMUSG00000063550",734.210571669451,0.752460184696654,0.149912528979544,5.01932820304384,5.18524939789448e-07,8.82856936957297e-05,"Nup98"
"ENSMUSG00000037110",2189.47855570566,0.727266395097479,0.145212372410164,5.00829497532936,5.491432967641e-07,9.2284600780876e-05,"Ralgapa2"
"ENSMUSG00000086841",513.459055890691,-0.800769315014007,0.160007625368016,-5.00456970830139,5.5986949581455e-07,9.28809137928241e-05,"2410006H16Rik"
"ENSMUSG00000001467",4632.73351359089,0.712583218969109,0.142523568028516,4.99975708457241,5.74025876783202e-07,9.40239853870207e-05,"Cyp51"
"ENSMUSG00000022982",4424.9436405417,-0.42651379802695,0.0855693598645835,-4.98442197887098,6.21473162788843e-07,0.000100523284081095,"Sod1"
"ENSMUSG00000031731",814.40700750513,0.68160908238839,0.137479290328942,4.95790370140497,7.12578655632897e-07,0.000113836639554194,"Ap1g1"
"ENSMUSG00000072770",170.698919642179,-1.18236858061645,0.238983981779088,-4.94748046213999,7.51802472855719e-07,0.000118638097545768,"Acrbp"
"ENSMUSG00000030059",727.770678423793,0.771124064751708,0.156018056405571,4.94253090005915,7.71148781937725e-07,0.000120158278345216,"Tmf1"
"ENSMUSG00000030560",2241.16200815798,0.53691320692474,0.108680188973339,4.94030431854007,7.80007371019952e-07,0.000120158278345216,"Ctsc"
"ENSMUSG00000035284",675.470596408012,1.02709238466667,0.20858303090205,4.92414162467985,8.47314564117013e-07,0.000128991181878519,"Vps13c"
"ENSMUSG00000036499",1797.36257593961,0.57804489605861,0.117526916889278,4.9184043226726,8.72525459964468e-07,0.00012977562588437,"Eea1"
"ENSMUSG00000040339",1038.05695786634,0.723545139777835,0.147090580650667,4.91904469053814,8.69676136065134e-07,0.00012977562588437,"Eeig2"
"ENSMUSG00000020839",381.437949072197,-1.05893652352885,0.215720958078448,-4.90882542410997,9.16234927861856e-07,0.000134728181437868,"Tmigd1"
"ENSMUSG00000003378",264.953960565388,-1.48857094360259,0.303490991137403,-4.90482744816846,9.35095053815952e-07,0.000135956516813241,"Grik5"
"ENSMUSG00000024378",4255.76241057174,0.506242671932363,0.103432064966352,4.89444614778842,9.85829661941826e-07,0.000141740398061414,"Stard4"
"ENSMUSG00000056536",266.648931013025,0.871040649150207,0.17811110466728,4.89043426448537,1.00613755811124e-06,0.000143070549472082,"Pign"
"ENSMUSG00000030409",247.049887595209,-1.24684637739706,0.255488028614285,-4.88025362346605,1.05949498644214e-06,0.000149020273093058,"Dmpk"
"ENSMUSG00000020182",952.921646333401,-0.624336359447111,0.128131247454408,-4.87263155436979,1.1012147954765e-06,0.000153222789822213,"Ddc"
"ENSMUSG00000056820",84.7536485208368,2.76815007263801,0.568775067433719,4.86686254572964,1.13383829232683e-06,0.000156083696837331,"Tsnax"
"ENSMUSG00000028864",47.226132850977,2.22943336380764,0.4585330023988,4.86210011524673,1.161468494577e-06,0.00015820423494554,"Hgf"
"ENSMUSG00000037106",626.429938703067,0.861260294281242,0.177884100974898,4.84169349346616,1.28737233252051e-06,0.000173527062320994,"Fer1l6"
"ENSMUSG00000001424",3065.33199706701,0.661031631897682,0.136603875678877,4.83904009760022,1.30467724995403e-06,0.000174046635200053,"Snd1"
"ENSMUSG00000029467",6050.18627408249,0.522848045026485,0.108185297095105,4.83289373940389,1.34562619991029e-06,0.000177677581906522,"Atp2a2"
"ENSMUSG00000029022",748.039092310216,-0.989266790834044,0.204930691535585,-4.82732373282537,1.38380075149973e-06,0.000178182707774523,"Miip"
"ENSMUSG00000073664",934.634028901038,0.626317671863402,0.129771160145804,4.82632405504971,1.39076147490161e-06,0.000178182707774523,"Nbeal1"
"ENSMUSG00000074818",192.293535115169,-1.32082301776313,0.273599018574744,-4.82758682631127,1.38197441658228e-06,0.000178182707774523,"Pdzd7"
"ENSMUSG00000042688",2384.67734025529,0.51015863523808,0.10585617767687,4.81935628542491,1.44022154887035e-06,0.000182710459239042,"Mapk6"
"ENSMUSG00000027508",399.005765628878,0.767526081985685,0.159470023355044,4.81298030713185,1.4869594680645e-06,0.000186808305987909,"Pag1"
"ENSMUSG00000022906",1734.75827197462,0.552291496196407,0.11480010665863,4.81089706509334,1.50254388662193e-06,0.000186951133585459,"Parp9"
"ENSMUSG00000026104",2802.73785996912,0.760008364216307,0.158063169330834,4.80825715082033,1.52251837938272e-06,0.000187632265040119,"Stat1"
"ENSMUSG00000025092",280.965296923902,1.18869711458492,0.247335362825189,4.80601358821894,1.53969438969978e-06,0.00018795891889354,"Hspa12a"
"ENSMUSG00000033863",656.71187069301,0.713669323066464,0.148708984680523,4.79910023324862,1.59380020914874e-06,0.000192745558003595,"Klf9"
"ENSMUSG00000058921",441.174472377059,0.913327823930073,0.190632606747354,4.79103674609301,1.65921732852072e-06,0.000198798816954242,"Slc10a5"
"ENSMUSG00000028194",2082.5691406323,0.50194511052776,0.104891923070583,4.7853552097619,1.7068519582481e-06,0.000202629948070921,"Ddah1"
"ENSMUSG00000020315",7998.71697967003,0.613337149128494,0.128398678131843,4.77681825118718,1.78090600774201e-06,0.000209499306728924,"Sptbn1"
"ENSMUSG00000028655",359.676736962779,1.17610517974948,0.247232750636589,4.7570767898718,1.96416467992548e-06,0.000225474653125612,"Mfsd2a"
"ENSMUSG00000030068",286.333395989322,0.871637353833023,0.183248675502206,4.75658201318094,1.96898267412629e-06,0.000225474653125612,NA
"ENSMUSG00000055862",287.67792007658,-0.86290973217762,0.181331628968757,-4.758738103689,1.94806999959669e-06,0.000225474653125612,"Izumo4"
"ENSMUSG00000024331",4669.44100031861,0.491362513602986,0.103620285002584,4.74195292544053,2.11667814411731e-06,0.000240261536709456,"Dsc2"
"ENSMUSG00000073555",40.4053611559408,3.36209366541496,0.710998124326441,4.72869554838843,2.25966924960962e-06,0.000254261913825639,"Gm4951"
"ENSMUSG00000030275",1737.78904527657,0.676889431797822,0.143771820007646,4.70808140122191,2.50059248325453e-06,0.000278945402873394,"Etnk1"
"ENSMUSG00000025203",34573.3577750762,0.558252824366222,0.11862876997012,4.70588057607639,2.52772467248087e-06,0.000279562027879508,"Scd2"
"ENSMUSG00000025931",428.415413232168,0.741612088722475,0.157933079635229,4.69573626016374,2.65648120979767e-06,0.000289485589136471,"Paqr8"
"ENSMUSG00000064348",277.387263620839,-1.57362474260723,0.335149123015726,-4.69529721112651,2.66219359406801e-06,0.000289485589136471,NA
"ENSMUSG00000054387",734.428640411272,0.792687769579704,0.168953546118926,4.69174981992823,2.708782441909e-06,0.000292097039985854,"Mdm4"
"ENSMUSG00000078586",103.798988286385,-1.6045608243693,0.342195791123558,-4.6890139095543,2.74524729900068e-06,0.000293582645033627,NA
"ENSMUSG00000079828",288.090883876167,1.55957629690082,0.332864968401594,4.68531219848654,2.79533510542427e-06,0.000296488821837623,NA
"ENSMUSG00000020152",4519.6094466723,0.45268073123756,0.0967314377768504,4.67976845626805,2.87199079317235e-06,0.000302142771249189,"Actr2"
"ENSMUSG00000030788",327.702282663984,0.821899645753383,0.175850563896006,4.67385277330947,2.95601272263073e-06,0.000308474230893884,"Rnf141"
"ENSMUSG00000037499",622.96459655228,-0.767488469117413,0.164276771816844,-4.67192324653849,2.98392470402689e-06,0.000308895885360863,"Nenf"
"ENSMUSG00000037033",19381.8591372013,0.842102590899001,0.180431274434452,4.66716534336139,3.05383576871504e-06,0.00031266261921307,"Clca3b"
"ENSMUSG00000038172",1407.21259658582,0.670560325741323,0.143706746994351,4.66617148996964,3.06863621638794e-06,0.00031266261921307,"Ttc39b"
"ENSMUSG00000022504",417.126328033976,1.35351645804905,0.290316929256383,4.66220299834371,3.12842377442397e-06,0.000313812431325939,"Ciita"
"ENSMUSG00000032496",276.559129571978,1.87965364246216,0.403128396385554,4.66266742634633,3.12136959967488e-06,0.000313812431325939,"Ltf"
"ENSMUSG00000044876",535.665996106693,-0.73064589712687,0.156845085669405,-4.65839203063659,3.18688878288856e-06,0.000317218006542907,"Zfp444"
"ENSMUSG00000072501",301.214888117037,0.830218928375244,0.178378166832393,4.65426314844536,3.25141343148332e-06,0.000321170151170948,"Phf20l1"
"ENSMUSG00000029426",854.234398359867,0.762998069408441,0.164096672923207,4.64968640628993,3.32440106191532e-06,0.00032589204349382,"Scarb2"
"ENSMUSG00000030814",335.901860932137,-0.962738105352621,0.207232588914441,-4.64568874227644,3.38943720891821e-06,0.000329769304386478,"Bcl7c"
"ENSMUSG00000036748",818.618030110692,-0.850607590605382,0.183344397576771,-4.63939777733983,3.49425920172143e-06,0.000337430702016979,"Cuedc2"
"ENSMUSG00000000142",589.949514730056,-0.9001703523464,0.194122456417742,-4.637126322002,3.53286517214268e-06,0.000338631669092787,"Axin2"
"ENSMUSG00000047036",498.372434468663,1.09373328898684,0.236357906207121,4.62744532873125,3.70203914599708e-06,0.000352238136391193,"Zfp445"
"ENSMUSG00000032454",121.889223878682,-1.48825672839319,0.322015593870755,-4.62169148550774,3.80623776433842e-06,0.000359508880806855,"Rbp2"
"ENSMUSG00000067714",235.625947171443,0.996077470828924,0.215871364826664,4.61421769222951,3.94578691724325e-06,0.000369989005138607,"Lpar5"
"ENSMUSG00000028832",2133.19914697212,-0.802678752911209,0.174103807558377,-4.6103457711117,4.01999783505229e-06,0.000374235769680407,"Stmn1"
"ENSMUSG00000025486",329.164731600112,-0.623537286510549,0.135591835115218,-4.59863446778122,4.25269188257454e-06,0.000390678614634165,"Sirt3"
"ENSMUSG00000040146",155.321195017251,-1.30242924481252,0.283233886764521,-4.5984230901557,4.257008088363e-06,0.000390678614634165,"Rgl3"
"ENSMUSG00000024411",12175.6377711424,1.04586278680612,0.227864232938708,4.58985060234287,4.43563370198025e-06,0.000404204930307215,"Aqp4"
"ENSMUSG00000030825",57.8276374580859,-1.93170490822263,0.421074348038968,-4.58756254618452,4.48451095847129e-06,0.000405801201416912,"Hsd17b14"
"ENSMUSG00000020072",51.8238497724419,-1.62524365676239,0.354526325072848,-4.58426791417658,4.55579792372579e-06,0.000406565690572495,"Pbld2"
"ENSMUSG00000045019",581.681212893553,-1.03873625422211,0.226578559905423,-4.58444194656234,4.55200532943342e-06,0.000406565690572495,"Acer1"
"ENSMUSG00000045983",7642.98233158816,0.645910769031819,0.14098368964148,4.58145740599046,4.61746659383811e-06,0.000409246696741542,"Eif4g1"
"ENSMUSG00000019846",77.6226395617638,-2.06923310823905,0.452229912089877,-4.57562194123021,4.74807305276811e-06,0.000417959627910336,"Lama4"
"ENSMUSG00000024871",111.312427384947,-1.81092471798099,0.396115567976469,-4.57170801751617,4.83764718946182e-06,0.000422967261024567,"Doc2g"
"ENSMUSG00000039304",1057.80173350732,0.873277825842187,0.191518743057171,4.55975123845452,5.12142520748744e-06,0.000444773437482467,"Tnfsf10"
"ENSMUSG00000019888",5770.61737900379,0.827259251360985,0.181704317170874,4.55277708444888,5.2942362445657e-06,0.000453691503342253,"Mgat4c"
"ENSMUSG00000028518",2053.57184991523,0.565210158858732,0.124115528007101,4.55390367292637,5.2659476143006e-06,0.000453691503342253,"Prkaa2"
