"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","mapIds"
"ENSMUSG00000062006",3894.16788519591,5.24875445370727,0.377938255557586,13.8878623069358,7.50416761006547e-44,1.10363793041233e-39,"Rpl34"
"ENSMUSG00000059775",218.363558102535,4.59902708516666,0.612850052332076,7.50432682132604,6.17450795079713e-14,4.54042442161867e-10,"Rps26-ps1"
"ENSMUSG00000083833",807.773991052758,1.67057494552633,0.240163912368351,6.95597822775343,3.50123936049439e-12,1.71642424249303e-08,NA
"ENSMUSG00000035284",675.470596408012,-1.89193092298202,0.322814284231151,-5.86074103718192,4.60806122972366e-09,1.69426891263865e-05,"Vps13c"
"ENSMUSG00000074516",264.189782878212,2.01740172195306,0.350722927597678,5.75212386533014,8.81291881419324e-09,2.5922319400068e-05,NA
"ENSMUSG00000024331",4669.44100031861,-0.825526695678131,0.15792483995546,-5.22733913113958,1.71966906738935e-07,0.000313090553787537,"Dsc2"
"ENSMUSG00000025792",3412.18307408331,0.940551476064752,0.180126576277977,5.22161413101675,1.77370259548539e-07,0.000313090553787537,"Slc25a10"
"ENSMUSG00000027508",399.005765628878,-1.28545718792529,0.246856236516792,-5.20731096796839,1.91596857556798e-07,0.000313090553787537,"Pag1"
"ENSMUSG00000072872",293.131979939258,-1.39577641242288,0.267236520581996,-5.22300024481351,1.76047157352384e-07,0.000313090553787537,"Rybp"
"ENSMUSG00000066116",85.5616106330145,2.74212694330598,0.529121110323309,5.18241833449144,2.19027276332085e-07,0.000322123415301597,"Gm10154"
"ENSMUSG00000066554",40.8099387576672,-3.37024344852179,0.653902242155792,-5.15404785493735,2.54922841906043e-07,0.00034083183962838,"Gm10167"
"ENSMUSG00000034875",1859.16661951563,1.0395746695559,0.205022325926525,5.07054373155664,3.96680748915888e-07,0.0003962867834135,"Nudt19"
"ENSMUSG00000041439",3834.79242992765,-0.874060977445616,0.172088504613772,-5.07913633979979,3.79154547419286e-07,0.0003962867834135,"Mfsd6"
"ENSMUSG00000046804",4492.27841000222,1.21628372306916,0.240041266512879,5.06697761071805,4.04181801264874e-07,0.0003962867834135,"Phgr1"
"ENSMUSG00000063427",3133.88971687879,1.17767234313659,0.231824034299913,5.08002695532863,3.77381317462366e-07,0.0003962867834135,NA
"ENSMUSG00000027660",1167.8949277584,-1.05399329586276,0.212356598839895,-4.96331784187883,6.92990353419183e-07,0.000636988070483495,"Skil"
