NAME	# MATCHING PROBE SETS	MATCHING PROBE SET(S)	
SNORD121B	1	ENSMUSG00000089265	
HTR4	1	ENSMUSG00000026322	
SNORD121A	1	ENSMUSG00000089308	
CRHBP	1	ENSMUSG00000021680	
HTR6	1	ENSMUSG00000028747	
HTR7	1	ENSMUSG00000024798	
LURAP1L	1	ENSMUSG00000048706	
BBX	1	ENSMUSG00000022641	
GSTK1	1	ENSMUSG00000029864	
WDR83OS	1	ENSMUSG00000059355	
DHDH	1	ENSMUSG00000011382	
INSYN1	1	ENSMUSG00000066607	
BCR	1	ENSMUSG00000009681	
ORAI3	1	ENSMUSG00000043964	
ORAI2	1	ENSMUSG00000039747	
AGTR1	2	ENSMUSG00000054988:ENSMUSG00000049115	
VOPP1	1	ENSMUSG00000037788	
ORAI1	1	ENSMUSG00000049686	
HOATZ	1	ENSMUSG00000032057	
AGTR2	1	ENSMUSG00000068122	
COL13A1	1	ENSMUSG00000058806	
SHMT2	1	ENSMUSG00000025403	
SHMT1	1	ENSMUSG00000020534	
B3GLCT	1	ENSMUSG00000051950	
RDH12	1	ENSMUSG00000021123	
RDH11	1	ENSMUSG00000066441	
RDH10	1	ENSMUSG00000025921	
RDH16	6	ENSMUSG00000069456:ENSMUSG00000074639:ENSMUSG00000056148:ENSMUSG00000054052:ENSMUSG00000089789:ENSMUSG00000040134	
RDH14	1	ENSMUSG00000020621	
RDH13	1	ENSMUSG00000008435	
GTF2IRD2B	1	ENSMUSG00000015942	
GSTM4	1	ENSMUSG00000027890	
GSTM3	1	ENSMUSG00000004032	
GSTM2	1	ENSMUSG00000004035	
GSTM1	4	ENSMUSG00000040562:ENSMUSG00000058135:ENSMUSG00000068762:ENSMUSG00000004038	
NEBL	1	ENSMUSG00000053702	
DHFR	1	ENSMUSG00000021707	
PKIB	1	ENSMUSG00000019876	
CYP2G1P	1	ENSMUSG00000049685	
STRC	1	ENSMUSG00000033498	
PKIA	1	ENSMUSG00000027499	
STRN	1	ENSMUSG00000024077	
PKIG	1	ENSMUSG00000035268	
KCNC1	1	ENSMUSG00000058975	
KCNC3	1	ENSMUSG00000062785	
KCNC4	1	ENSMUSG00000027895	
BBC3	1	ENSMUSG00000002083	
GLT1D1	1	ENSMUSG00000049971	
NEFL	1	ENSMUSG00000022055	
TLR12P	1	ENSMUSG00000062545	
NEFM	1	ENSMUSG00000022054	
NEFH	1	ENSMUSG00000020396	
STUM	1	ENSMUSG00000053963	
MYBPC3	1	ENSMUSG00000002100	
MYBPC1	1	ENSMUSG00000020061	
KCND1	1	ENSMUSG00000009731	
MYBPC2	1	ENSMUSG00000038670	
GSTO2	1	ENSMUSG00000025069	
KCND2	1	ENSMUSG00000060882	
GSTO1	1	ENSMUSG00000025068	
KCND3	1	ENSMUSG00000040896	
BGN	1	ENSMUSG00000031375	
TMEFF1	1	ENSMUSG00000028347	
TMEFF2	1	ENSMUSG00000026109	
PKN3	1	ENSMUSG00000026785	
GSTP1	3	ENSMUSG00000058216:ENSMUSG00000060803:ENSMUSG00000038155	
KCNA1	1	ENSMUSG00000047976	
SYNPO2	1	ENSMUSG00000050315	
PTAFR	1	ENSMUSG00000056529	
ADAM1B	1	ENSMUSG00000062438	
ADAM22	1	ENSMUSG00000040537	
KCNA3	1	ENSMUSG00000047959	
ADAM21	1	ENSMUSG00000008438	
SDAD1	1	ENSMUSG00000029415	
KCNA7	1	ENSMUSG00000038201	
ADAM28	1	ENSMUSG00000014725	
ADAM23	1	ENSMUSG00000025964	
STX6	1	ENSMUSG00000026470	
STX5	1	ENSMUSG00000010110	
STX4	1	ENSMUSG00000030805	
STX3	1	ENSMUSG00000041488	
BID	1	ENSMUSG00000004446	
STX2	1	ENSMUSG00000029428	
SPDEF	1	ENSMUSG00000024215	
MBD3	1	ENSMUSG00000035478	
MBD4	1	ENSMUSG00000030322	
MBD5	1	ENSMUSG00000036792	
MBD6	1	ENSMUSG00000025409	
PKLR	1	ENSMUSG00000041237	
BIK	1	ENSMUSG00000016758	
KCNB1	1	ENSMUSG00000050556	
MBD1	1	ENSMUSG00000024561	
KCNB2	1	ENSMUSG00000092083	
MBD2	1	ENSMUSG00000024513	
ADAM33	1	ENSMUSG00000027318	
KIAA2012	1	ENSMUSG00000047361	
ADAM32	1	ENSMUSG00000037437	
KIAA2013	1	ENSMUSG00000044496	
PKN2	1	ENSMUSG00000004591	
MITD1	1	ENSMUSG00000026088	
ADAM3A	1	ENSMUSG00000031553	
PKN1	1	ENSMUSG00000057672	
KCNG2	1	ENSMUSG00000059852	
KCNG4	1	ENSMUSG00000045246	
RASL11B	1	ENSMUSG00000049907	
FBXO27	1	ENSMUSG00000037463	
RASL11A	1	ENSMUSG00000029641	
FBXO28	1	ENSMUSG00000047539	
GOLIM4	1	ENSMUSG00000034109	
FBXO25	1	ENSMUSG00000038365	
FBXO24	1	ENSMUSG00000089984	
FBXO21	1	ENSMUSG00000032898	
FBXO22	1	ENSMUSG00000032309	
FADS3	1	ENSMUSG00000024664	
FADS2	1	ENSMUSG00000024665	
POFUT2	1	ENSMUSG00000020260	
PTAR1	1	ENSMUSG00000074925	
FNTA	1	ENSMUSG00000015994	
MYBPHL	1	ENSMUSG00000068745	
FADS6	1	ENSMUSG00000044788	
POFUT1	1	ENSMUSG00000046020	
POTEJ	1	ENSMUSG00000074449	
FNTB	1	ENSMUSG00000033373	
TNFRSF8	1	ENSMUSG00000028602	
NEK1	1	ENSMUSG00000031644	
NEK2	1	ENSMUSG00000026622	
NEK3	1	ENSMUSG00000031478	
TNFRSF4	1	ENSMUSG00000029075	
FADS1	1	ENSMUSG00000010663	
KCNH1	1	ENSMUSG00000058248	
PIAS4	1	ENSMUSG00000004934	
KCNH2	1	ENSMUSG00000038319	
PIAS3	1	ENSMUSG00000028101	
KCNH3	1	ENSMUSG00000037579	
DGAT2	1	ENSMUSG00000030747	
KCNH6	1	ENSMUSG00000001901	
DGAT1	1	ENSMUSG00000022555	
KCNH7	1	ENSMUSG00000059742	
STX8	1	ENSMUSG00000020903	
FBXO16	1	ENSMUSG00000034532	
KCNH8	1	ENSMUSG00000035580	
STX7	1	ENSMUSG00000019998	
FBXO17	1	ENSMUSG00000030598	
FBXO15	1	ENSMUSG00000034391	
FBXO10	1	ENSMUSG00000048232	
NEAT1	1	ENSMUSG00000092274	
FBXO11	1	ENSMUSG00000005371	
PIAS2	1	ENSMUSG00000025423	
PIAS1	1	ENSMUSG00000032405	
LENEP	1	ENSMUSG00000078173	
NPAS4	1	ENSMUSG00000045903	
LENG1	1	ENSMUSG00000078813	
MINPP1	1	ENSMUSG00000024896	
DMTF1	1	ENSMUSG00000042508	
PKP2	1	ENSMUSG00000041957	
PKP1	1	ENSMUSG00000026413	
PKP4	1	ENSMUSG00000026991	
PKP3	1	ENSMUSG00000054065	
BLK	1	ENSMUSG00000014453	
BLM	1	ENSMUSG00000030528	
KCNE1	1	ENSMUSG00000039639	
KCNE2	1	ENSMUSG00000039672	
KCNE3	1	ENSMUSG00000035165	
KCNE4	1	ENSMUSG00000047330	
ZC4H2	1	ENSMUSG00000035062	
GSTT4	1	ENSMUSG00000009093	
IREB2	1	ENSMUSG00000032293	
FBXO47	1	ENSMUSG00000070336	
GSTT2	1	ENSMUSG00000033318	
FBXO48	1	ENSMUSG00000044966	
GSTT1	1	ENSMUSG00000001663	
FBXO45	1	ENSMUSG00000035764	
FBXO46	1	ENSMUSG00000050428	
FBXO43	1	ENSMUSG00000048230	
NPAS1	1	ENSMUSG00000001988	
